window,train_from,train_to,test_from,test_to,train_rows,test_rows,rows,accuracy,macro_f1,weighted_f1,log_loss,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1
1,2021-01-04,2021-12-05,2022-01-04,2022-04-03,1053,178,178,0.30337078651685395,0.29535635510152325,0.29792633662988904,1.1190021968789141,0.2413793103448276,0.25,0.24561403508771928,0.34210526315789475,0.22033898305084745,0.26804123711340205,0.32926829268292684,0.42857142857142855,0.3724137931034483
2,2021-01-04,2022-04-03,2022-04-04,2022-07-02,1231,388,388,0.33505154639175255,0.30809481564489266,0.32807395031117487,1.113002334575024,0.28,0.29914529914529914,0.2892561983471074,0.23684210526315788,0.17307692307692307,0.2,0.4117647058823529,0.46107784431137727,0.4350282485875706
3,2021-01-04,2022-07-02,2022-07-03,2022-09-30,1619,349,349,0.40974212034383956,0.34792162685713796,0.3763060260826336,1.0800583743606518,0.3894736842105263,0.3162393162393162,0.3490566037735849,0.23255813953488372,0.10989010989010989,0.14925373134328357,0.4549763033175355,0.6808510638297872,0.5454545454545454
4,2021-01-04,2022-09-25,2022-10-01,2022-12-29,1968,159,159,0.34591194968553457,0.2992383512544803,0.3216000541015757,1.0884995948453011,0.2894736842105263,0.1896551724137931,0.22916666666666666,0.23076923076923078,0.16666666666666666,0.1935483870967742,0.4,0.5846153846153846,0.475
5,2021-01-04,2022-11-20,2022-12-30,2023-03-29,2127,151,151,0.3973509933774834,0.37577144442133,0.3831805516985931,1.091194909437035,0.35,0.2692307692307692,0.30434782608695654,0.35294117647058826,0.27906976744186046,0.3116883116883117,0.44155844155844154,0.6071428571428571,0.5112781954887218
6,2021-01-04,2023-03-29,2023-03-30,2023-06-27,2278,399,399,0.39097744360902253,0.3215955665517069,0.3547695806467736,1.084102751031061,0.38596491228070173,0.3308270676691729,0.3562753036437247,0.2,0.07,0.1037037037037037,0.42,0.6325301204819277,0.5048076923076923
7,2021-01-04,2023-06-25,2023-06-28,2023-09-25,2677,375,375,0.32266666666666666,0.25667097936868566,0.2781989998285787,1.1198358724659028,0.22413793103448276,0.22608695652173913,0.22510822510822512,0.18518518518518517,0.04504504504504504,0.07246376811594203,0.3879310344827586,0.6040268456375839,0.47244094488188976
8,2021-01-04,2023-09-24,2023-09-26,2023-12-24,3052,223,223,0.39461883408071746,0.34921294057042634,0.36357441112252786,1.0888806349479287,0.4727272727272727,0.28888888888888886,0.3586206896551724,0.34782608695652173,0.14285714285714285,0.20253164556962025,0.3724137931034483,0.7012987012987013,0.4864864864864865
9,2021-01-04,2023-12-03,2023-12-25,2024-03-23,3275,138,138,0.2826086956521739,0.2712828282828283,0.27518906455862974,1.1416739030721337,0.3111111111111111,0.27450980392156865,0.2916666666666667,0.375,0.15384615384615385,0.21818181818181817,0.24675324675324675,0.3958333333333333,0.304
10,2021-01-04,2024-03-23,2024-03-24,2024-06-21,3413,409,409,0.39119804400978,0.33800735238310803,0.3541289551986465,1.0878522704211107,0.38095238095238093,0.366412213740458,0.3735408560311284,0.2894736842105263,0.09166666666666666,0.13924050632911392,0.4122448979591837,0.6392405063291139,0.5012406947890818
11,2021-01-04,2024-06-19,2024-06-22,2024-09-19,3822,336,336,0.41964285714285715,0.3554254515291484,0.39926149935353805,1.0788850864463213,0.408,0.4214876033057851,0.4146341463414634,0.19444444444444445,0.09722222222222222,0.12962962962962962,0.4742857142857143,0.5804195804195804,0.5220125786163522
12,2021-01-04,2024-09-18,2024-09-20,2024-12-18,4158,257,257,0.4163424124513619,0.34588632341441333,0.37370868831542986,1.0678435692990245,0.3684210526315789,0.35,0.358974358974359,0.3,0.08450704225352113,0.13186813186813187,0.453416149068323,0.6886792452830188,0.5468164794007491
13,2021-01-04,2024-12-08,2024-12-19,2025-03-18,4415,154,154,0.3181818181818182,0.3142297358167254,0.3140371615381774,1.1066093939577104,0.3125,0.46511627906976744,0.37383177570093457,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.3829787234042553,0.2647058823529412,0.3130434782608696
14,2021-01-04,2025-03-16,2025-03-19,2025-06-16,4569,394,394,0.4035532994923858,0.3851430269077328,0.39522744400021204,1.0864554449543053,0.3783783783783784,0.35,0.36363636363636365,0.36904761904761907,0.2672413793103448,0.31,0.4321608040201005,0.5443037974683544,0.48179271708683474
15,2021-01-04,2025-06-15,2025-06-17,2025-09-14,4963,300,300,0.38666666666666666,0.3637441643323996,0.3872535947712418,1.0889498573407512,0.37662337662337664,0.29591836734693877,0.3314285714285714,0.24705882352941178,0.3088235294117647,0.27450980392156865,0.4782608695652174,0.4925373134328358,0.4852941176470588
16,2021-01-04,2025-09-14,2025-09-15,2025-12-06,5263,292,292,0.4726027397260274,0.4339143440338216,0.4654692611418761,1.0655956400130802,0.5,0.41414141414141414,0.4530386740331492,0.30357142857142855,0.265625,0.2833333333333333,0.5194805194805194,0.6201550387596899,0.5653710247349824
