feature,mean_importance,selected_windows,selection_rate
h2hAwayWins,0.001202269839526277,10,1.0
GKAvailableRateDiff,0.0011674376319227423,10,1.0
h2hDraws,0.0007138135552963668,10,1.0
away_available_count_GK,0.0006175348657032372,10,1.0
awayGKAvailableRate,0.0006124646175994987,10,1.0
home_available_count_GK,0.00024881691677498374,10,1.0
homeGKAvailableRate,0.00014912929769547286,10,1.0
away_starter_count_GK,0.00011310919611467797,10,1.0
GKStarterCountDiff,0.00011203434652182105,10,1.0
home_starter_count_GK,1.437920325253948e-05,10,1.0
