column,original_name,normalized_name,method
home_team,福岡,アビスパ福岡,alias
home_team,鹿島,鹿島アントラーズ,alias
home_team,京都,京都サンガF.C.,alias
home_team,岡山,ファジアーノ岡山,alias
home_team,東京Ｖ,東京ヴェルディ,alias
home_team,広島,サンフレッチェ広島,alias
home_team,柏,柏レイソル,alias
home_team,水戸,水戸ホーリーホック,alias
home_team,清水,清水エスパルス,alias
home_team,札幌,北海道コンサドーレ札幌,alias
home_team,仙台,ベガルタ仙台,alias
home_team,徳島,徳島ヴォルティス,alias
home_team,藤枝,藤枝MYFC,alias
away_team,神戸,ヴィッセル神戸,alias
away_team,FC東京,FC東京,exact
away_team,長崎,V・ファーレン長崎,alias
away_team,Ｃ大阪,セレッソ大阪,alias
away_team,横浜FM,横浜F・マリノス,alias
away_team,名古屋,名古屋グランパス,alias
away_team,千葉,ジェフユナイテッド千葉,alias
away_team,川崎Ｆ,川崎フロンターレ,alias
away_team,Ｇ大阪,ガンバ大阪,alias
away_team,磐田,ジュビロ磐田,alias
away_team,横浜FC,横浜FC,exact
away_team,今治,FC今治,alias
away_team,いわき,いわきFC,alias
