match_card_id,team,match_date,core_GK,momentum_GK,starter_count_GK,available_count_GK,core_DF,momentum_DF,starter_count_DF,available_count_DF,core_MF,momentum_MF,starter_count_MF,available_count_MF,core_FW,momentum_FW,starter_count_FW,available_count_FW
24994,アビスパ福岡,,0.5,0.5,1,1,0.562083,0.534028,4,3,0.54875,0.463194,4,3,0.795625,0.721875,2,3
24994,横浜F・マリノス,,0.5,0.5,1,1,0.551071,0.495833,4,4,0.720833,0.618056,3,2,0.654167,0.548611,3,3
24995,湘南ベルマーレ,,0.5,0.5,1,1,0.4295,0.4,3,2,0.495,0.405952,5,2,0.55375,0.485417,2,2
24995,鹿島アントラーズ,,0.5,0.5,1,1,0.822,0.7925,4,4,0.5675,0.480729,4,4,0.643333,0.627778,2,2
24996,名古屋グランパス,,0.5,0.5,1,1,0.607083,0.539583,4,3,0.525625,0.490625,3,2,0.72125,0.653472,3,5
24996,柏レイソル,,0.5,0.5,1,1,0.774753,0.752099,4,4,0.654312,0.578228,5,5,0.544877,0.492716,1,2
24997,FC東京,,0.5,0.5,1,1,0.6225,0.613889,4,4,0.715,0.625,3,3,0.675407,0.56637,3,2
24997,ヴィッセル神戸,,0.5,0.5,1,1,0.520833,0.5,4,3,0.631667,0.538889,3,3,0.795,0.720833,3,3
24998,川崎フロンターレ,,0.5,0.5,1,1,0.8605,0.8175,4,5,0.669583,0.571528,3,3,0.582,0.491667,3,3
24998,徳島ヴォルティス,,0.5,0.5,1,1,0.3095,0.274167,3,2,0.601429,0.577381,4,4,0.63125,0.510417,3,2
24999,ガンバ大阪,,0.5,0.5,1,1,0.59375,0.552083,4,3,0.67625,0.564583,4,4,0.62125,0.49375,2,3
24999,大分トリニータ,,0.5,0.5,1,1,0.375,0.333333,4,2,0.672857,0.603571,5,5,0.066667,0.041667,1,0
25000,セレッソ大阪,,0.5,0.5,1,1,0.6875,0.666667,4,4,0.825,0.795,4,4,0.5405,0.409167,2,2
25000,清水エスパルス,,0.5,0.5,1,1,0.8,0.8,4,4,0.53125,0.5,4,4,0.75,0.666667,2,3
25001,サンフレッチェ広島,,0.5,0.5,1,1,0.7185,0.630833,4,3,0.409643,0.347024,4,2,0.7,0.645833,2,3
25001,北海道コンサドーレ札幌,,0.5,0.5,1,1,0.5,0.5,3,3,0.565,0.442857,6,3,0.495,0.491667,1,1
25002,サガン鳥栖,,0.5,0.5,1,1,0.712083,0.672917,4,4,0.622188,0.545312,4,4,0.945,0.908333,2,2
25002,ベガルタ仙台,,0.5,0.5,1,1,0.751,0.685,4,3,0.71625,0.646875,5,5,0.590833,0.466667,1,2
25003,横浜FC,,0.5,0.5,1,1,0.584,0.511667,4,3,0.656429,0.579762,4,5,0.235,0.152083,2,0
25003,浦和レッズ,,0.5,0.5,1,1,1.0,1.0,4,4,0.54,0.472685,4,4,0.578333,0.561111,2,2
25004,ガンバ大阪,,0.5,0.5,1,1,0.678071,0.637299,4,3,0.672114,0.557793,5,4,0.646898,0.524907,1,3
25004,北海道コンサドーレ札幌,,0.5,0.5,1,1,0.796,0.793333,3,4,0.623333,0.594167,6,5,0.271327,0.148858,1,0
25005,セレッソ大阪,,0.5,0.5,1,1,0.680556,0.654228,4,4,0.833333,0.8,4,4,0.497981,0.370907,2,2
25005,横浜FC,,0.5,0.45,1,1,0.822926,0.790963,4,5,0.603222,0.510519,3,2,0.739429,0.665756,3,5
25006,アビスパ福岡,,0.5,0.5,1,1,0.76321,0.722438,4,4,0.661892,0.574458,4,4,0.607963,0.472315,2,1
25006,徳島ヴォルティス,,0.5,0.5,1,1,0.554685,0.483759,4,2,0.700794,0.657302,3,4,0.788426,0.70963,3,3
25007,ベガルタ仙台,,0.5,0.5,1,1,0.759389,0.683278,4,4,0.674722,0.591468,5,4,0.588125,0.480625,1,2
25007,湘南ベルマーレ,,0.5,0.5,1,1,0.810787,0.782685,3,3,0.535617,0.460309,5,3,0.878889,0.823333,2,3
25008,サンフレッチェ広島,,0.5,0.5,1,1,0.868593,0.820963,4,5,0.637593,0.558889,5,5,0.51213,0.421296,1,1
25008,鹿島アントラーズ,,0.5,0.5,1,1,0.5985,0.5775,4,2,0.587477,0.486968,4,4,0.739568,0.648951,2,2
25009,ヴィッセル神戸,,0.5,0.5,1,1,0.680556,0.664259,4,4,0.797704,0.740852,3,4,0.555778,0.440556,3,2
25009,名古屋グランパス,,0.5,0.5,1,1,0.652099,0.602438,4,4,0.706914,0.640679,2,2,0.606561,0.508042,4,4
25010,川崎フロンターレ,,0.5,0.5,1,1,0.884148,0.846741,4,4,0.702068,0.624506,3,4,0.562074,0.45837,3,2
25010,柏レイソル,,0.5,0.5,1,1,0.771836,0.754599,4,4,0.670463,0.585767,5,4,0.311944,0.251944,1,1
25011,横浜F・マリノス,,0.5,0.5,1,1,0.647114,0.611682,4,3,0.821889,0.754444,3,4,0.697444,0.602556,3,3
25011,浦和レッズ,,0.5,0.5,1,1,1.0,1.0,4,4,0.593741,0.502648,5,5,0.491852,0.485926,1,1
25012,サガン鳥栖,,0.5,0.5,1,1,0.635397,0.571772,4,4,0.77321,0.714105,4,4,0.735586,0.641821,2,2
25012,清水エスパルス,,0.5,0.5,1,1,0.6,0.6,4,3,0.653413,0.564444,4,3,0.583843,0.50088,2,2
25013,FC東京,,0.5,0.5,1,1,0.523758,0.483927,4,3,0.477528,0.392306,3,2,0.633889,0.527611,3,2
25013,大分トリニータ,,0.5,0.45,1,1,0.5725,0.516667,4,3,0.771343,0.709491,5,5,0.686111,0.618056,1,2
25014,FC東京,,0.5,0.5,1,1,0.686778,0.642556,4,4,0.680594,0.62736,3,4,0.625167,0.521,3,3
25014,湘南ベルマーレ,,0.5,0.5,1,1,0.823646,0.795937,3,3,0.617253,0.541543,5,5,0.805185,0.736759,2,3
25015,ヴィッセル神戸,,0.5,0.5,1,1,0.6875,0.65,4,4,0.687747,0.599846,3,3,0.679815,0.602407,3,3
25015,川崎フロンターレ,,0.5,0.5,1,1,0.802296,0.757648,4,5,0.670532,0.572523,3,3,0.598611,0.498222,3,3
25016,サンフレッチェ広島,,0.5,0.5,1,1,0.868602,0.820676,4,5,0.503272,0.402099,5,2,0.786736,0.715347,1,2
25016,清水エスパルス,,0.5,0.5,1,1,0.673333,0.68,4,3,0.479823,0.380779,3,3,0.746972,0.695528,3,3
25017,北海道コンサドーレ札幌,,0.5,0.5,1,1,0.695833,0.61875,3,3,0.596861,0.532639,6,5,0.679537,0.591019,1,1
25017,浦和レッズ,,0.5,0.5,1,1,0.971597,0.950694,4,4,0.507306,0.418028,5,4,0.549931,0.476736,1,1
25018,名古屋グランパス,,0.5,0.5,1,1,0.816204,0.758102,4,5,0.719583,0.650972,2,2,0.633214,0.550952,4,4
