team,player_out,player_in,minute,match_card_id
FC東京,原 大智,三田 啓貴,67,24973
FC東京,東 慶悟,アダイウトン,67,24973
FC東京,永井 謙佑,内田 宅哉,90,24973
柏レイソル,ヒシャルジソン,仲間 隼斗,86,24973
柏レイソル,大谷 秀和,三原 雅俊,78,24973
柏レイソル,江坂 任,呉屋 大翔,78,24973
柏レイソル,瀬川 祐輔,神谷 優太,78,24973
川崎フロンターレ,ジョアン シミッチ,橘田 健人,64,24974
川崎フロンターレ,レアンドロ ダミアン,小林 悠,76,24974
川崎フロンターレ,三笘 薫,長谷川 竜也,88,24974
川崎フロンターレ,家長 昭博,知念 慶,88,24974
川崎フロンターレ,脇坂 泰斗,車屋 紳太郎,76,24974
横浜F・マリノス,ティーラトン,高野 遼,73,24974
横浜F・マリノス,和田 拓也,渡辺 皓太,88,24974
横浜F・マリノス,岩田 智輝,松原 健,73,24974
横浜F・マリノス,扇原 貴宏,水沼 宏太,46,24974
横浜F・マリノス,樺山 諒乃介,前田 大然,46,24974
北海道コンサドーレ札幌,アンデルソン ロペス,小野 伸二,86,24975
北海道コンサドーレ札幌,チャナティップ,ドウグラス オリヴェイラ,82,24975
北海道コンサドーレ札幌,ルーカス フェルナンデス,菅 大輝,70,24975
北海道コンサドーレ札幌,小柏 剛,深井 一希,82,24975
北海道コンサドーレ札幌,駒井 善成,高嶺 朋樹,82,24975
横浜FC,中村 俊輔,瀬古 樹,46,24975
横浜FC,前嶋 洋太,手塚 康平,83,24975
横浜FC,渡邉 千真,伊藤 翔,59,24975
横浜FC,高木 友也,伊野波 雅彦,46,24975
横浜FC,齋藤 功佑,松尾 佑介,59,24975
FC東京,アルトゥール シルバ,三田 啓貴,75,24976
FC東京,ディエゴ オリヴェイラ,アダイウトン,46,24976
FC東京,レアンドロ,田川 亨介,81,24976
FC東京,東 慶悟,青木 拓矢,75,24976
FC東京,渡邊 凌磨,永井 謙佑,61,24976
浦和レッズ,小泉 佳穂,田中 達也,75,24976
浦和レッズ,汰木 康也,武田 英寿,87,24976
浦和レッズ,阿部 勇樹,柴戸 海,87,24976
サンフレッチェ広島,ジュニオール サントス,柏 好文,76,24977
サンフレッチェ広島,東 俊希,今津 佑太,87,24977
サンフレッチェ広島,森島 司,鮎川 峻,90,24977
サンフレッチェ広島,浅野 雄也,エゼキエウ,90,24977
ベガルタ仙台,マルティノス,赤﨑 秀平,87,24977
ベガルタ仙台,吉野 恭平,平岡 康裕,87,24977
ベガルタ仙台,氣田 亮真,松下 佳貴,46,24977
ベガルタ仙台,皆川 佑介,石原 崇兆,62,24977
ベガルタ仙台,秋山 陽介,真瀬 拓海,79,24977
大分トリニータ,井上 健太,長沢 駿,90,24978
大分トリニータ,渡邉 新太,刀根 亮輔,90,24978
大分トリニータ,野村 直輝,町田 也真人,46,24978
大分トリニータ,高畑 奎汰,松本 怜,76,24978
大分トリニータ,髙澤 優也,伊佐 耕平,76,24978
徳島ヴォルティス,吹ヶ 徳喜,川上 エドオジョン 智慧,56,24978
徳島ヴォルティス,垣田 裕暉,河田 篤秀,81,24978
徳島ヴォルティス,石井 秀典,安部 崇士,77,24978
徳島ヴォルティス,藤原 志龍,渡井 理己,81,24978
清水エスパルス,カルリーニョス ジュニオ,金子 翔太,90,24979
清水エスパルス,ディサロ 燦シルヴァーノ,後藤 優介,63,24979
清水エスパルス,中村 慶太,河井 陽介,74,24979
鹿島アントラーズ,ファン アラーノ,荒木 遼太郎,63,24979
鹿島アントラーズ,土居 聖真,遠藤 康,87,24979
鹿島アントラーズ,小泉 慶,広瀬 陸斗,87,24979
鹿島アントラーズ,永戸 勝也,松村 優太,87,24979
鹿島アントラーズ,永木 亮太,白崎 凌兵,81,24979
サガン鳥栖,仙頭 啓矢,島川 俊郎,89,24980
サガン鳥栖,山下 敬大,石井 快征,63,24980
サガン鳥栖,林 大地,豊田 陽平,89,24980
サガン鳥栖,酒井 宣福,田代 雅也,81,24980
湘南ベルマーレ,山田 直輝,茨田 陽生,81,24980
湘南ベルマーレ,柴田 壮介,平松 昇,90,24980
湘南ベルマーレ,田中 聡,舘 幸希,81,24980
湘南ベルマーレ,石原 直樹,根本 凌,81,24980
湘南ベルマーレ,高橋 諒,古林 将太,81,24980
セレッソ大阪,大久保 嘉人,高木 俊幸,61,24981
セレッソ大阪,清武 弘嗣,藤田 直之,84,24981
セレッソ大阪,豊川 雄太,加藤 陸次樹,70,24981
柏レイソル,呉屋 大翔,染谷 悠太,37,24981
柏レイソル,大谷 秀和,三原 雅俊,46,24981
柏レイソル,椎橋 慧也,ヒシャルジソン,46,24981
ガンバ大阪,パトリック,レアンドロ ペレイラ,67,24982
ガンバ大阪,井手口 陽介,チアゴ アウベス,82,24982
ガンバ大阪,宇佐美 貴史,髙尾 瑠,67,24982
ガンバ大阪,川﨑 修平,チュ セジョン,76,24982
ガンバ大阪,矢島 慎也,倉田 秋,76,24982
ヴィッセル神戸,セルジ サンペール,増山 朝陽,67,24982
ヴィッセル神戸,井上 潮音,安井 拓也,80,24982
ヴィッセル神戸,古橋 亨梧,田中 順也,80,24982
ヴィッセル神戸,藤本 憲明,ドウグラス,46,24982
アビスパ福岡,ブルーノ メンデス,城後 寿,86,24983
アビスパ福岡,山岸 祐也,金森 健志,63,24983
アビスパ福岡,杉本 太郎,田邉 草民,70,24983
アビスパ福岡,石津 大介,杉本 太郎,46,24983
名古屋グランパス,成瀬 竣平,宮原 和也,74,24983
名古屋グランパス,柿谷 曜一朗,前田 直輝,81,24983
名古屋グランパス,相馬 勇紀,齋藤 学,74,24983
名古屋グランパス,米本 拓司,木本 恭生,81,24983
ベガルタ仙台,富田 晋伍,平岡 康裕,46,24984
ベガルタ仙台,氣田 亮真,加藤 千尋,83,24984
ベガルタ仙台,秋山 陽介,真瀬 拓海,46,24984
ベガルタ仙台,西村 拓真,松下 佳貴,46,24984
ベガルタ仙台,関口 訓充,石原 崇兆,26,24984
川崎フロンターレ,ジョアン シミッチ,塚川 孝輝,46,24984
川崎フロンターレ,橘田 健人,谷口 彰悟,83,24984
川崎フロンターレ,田中 碧,脇坂 泰斗,90,24984
川崎フロンターレ,遠野 大弥,家長 昭博,72,24984
川崎フロンターレ,長谷川 竜也,三笘 薫,72,24984
FC東京,アルトゥール シルバ,ジョアン オマリ,46,24985
FC東京,ディエゴ オリヴェイラ,永井 謙佑,72,24985
FC東京,レアンドロ,渡邊 凌磨,90,24985
FC東京,東 慶悟,三田 啓貴,72,24985
FC東京,田川 亨介,アダイウトン,59,24985
セレッソ大阪,大久保 嘉人,松田 力,59,24985
セレッソ大阪,瀬古 歩夢,進藤 亮佑,59,24985
セレッソ大阪,豊川 雄太,高木 俊幸,77,24985
アビスパ福岡,カルロス グティエレス,宮 大樹,46,24986
アビスパ福岡,山岸 祐也,城後 寿,76,24986
アビスパ福岡,石津 大介,田邉 草民,70,24986
アビスパ福岡,重廣 卓也,カウエ,85,24986
アビスパ福岡,金森 健志,湯澤 聖人,85,24986
清水エスパルス,中村 慶太,河井 陽介,61,24986
清水エスパルス,後藤 優介,ディサロ 燦シルヴァーノ,70,24986
ヴィッセル神戸,セルジ サンペール,増山 朝陽,62,24987
ヴィッセル神戸,井上 潮音,佐々木 大樹,62,24987
ヴィッセル神戸,山川 哲史,初瀬 亮,84,24987
ヴィッセル神戸,田中 順也,ドウグラス,26,24987
徳島ヴォルティス,吹ヶ 徳喜,田向 泰輝,80,24987
徳島ヴォルティス,宮代 大聖,河田 篤秀,80,24987
徳島ヴォルティス,浜下 瑛,川上 エドオジョン 智慧,90,24987
徳島ヴォルティス,藤原 志龍,渡井 理己,67,24987
徳島ヴォルティス,藤田 譲瑠チマ,小西 雄大,90,24987
大分トリニータ,上夷 克典,羽田 健人,60,24988
大分トリニータ,下田 北斗,小林 裕紀,77,24988
大分トリニータ,井上 健太,高畑 奎汰,71,24988
大分トリニータ,伊佐 耕平,長沢 駿,60,24988
大分トリニータ,小林 成豪,髙澤 優也,60,24988
横浜FC,クレーベ,渡邉 千真,87,24988
横浜FC,松尾 佑介,杉本 竜士,77,24988
横浜FC,武田 英二郎,前嶋 洋太,77,24988
横浜FC,齋藤 功佑,伊藤 翔,67,24988
ガンバ大阪,レアンドロ ペレイラ,パトリック,61,24989
ガンバ大阪,奥野 耕平,小野瀬 康介,61,24989
ガンバ大阪,宇佐美 貴史,一美 和成,73,24989
ガンバ大阪,山本 悠樹,チュ セジョン,84,24989
ガンバ大阪,矢島 慎也,ウェリントン シウバ,73,24989
鹿島アントラーズ,エヴェラウド,松村 優太,90,24989
鹿島アントラーズ,ファン アラーノ,レオ シルバ,90,24989
鹿島アントラーズ,和泉 竜司,荒木 遼太郎,65,24989
鹿島アントラーズ,土居 聖真,アルトゥール カイキ,65,24989
サガン鳥栖,中野 伸哉,田代 雅也,79,24990
サガン鳥栖,仙頭 啓矢,島川 俊郎,79,24990
サガン鳥栖,小屋松 知哉,本田 風智,59,24990
サガン鳥栖,林 大地,石井 快征,74,24990
浦和レッズ,小泉 佳穂,武田 英寿,78,24990
浦和レッズ,汰木 康也,武藤 雄樹,78,24990
浦和レッズ,田中 達也,明本 考浩,46,24990
柏レイソル,クリスティアーノ,大谷 秀和,55,24991
柏レイソル,椎橋 慧也,仲間 隼斗,67,24991
柏レイソル,瀬川 祐輔,三丸 拡,58,24991
湘南ベルマーレ,中村 駿,柴田 壮介,90,24991
湘南ベルマーレ,山田 直輝,三幸 秀稔,74,24991
湘南ベルマーレ,石原 直樹,平松 昇,67,24991
湘南ベルマーレ,茨田 陽生,名古 新太郎,46,24991
湘南ベルマーレ,高橋 諒,古林 将太,67,24991
北海道コンサドーレ札幌,小柏 剛,ドウグラス オリヴェイラ,83,24992
北海道コンサドーレ札幌,金子 拓郎,菅 大輝,83,24992
北海道コンサドーレ札幌,駒井 善成,高嶺 朋樹,90,24992
名古屋グランパス,ガブリエル シャビエル,柿谷 曜一朗,54,24992
名古屋グランパス,前田 直輝,木本 恭生,87,24992
名古屋グランパス,山﨑 凌吾,相馬 勇紀,54,24992
名古屋グランパス,成瀬 竣平,宮原 和也,61,24992
名古屋グランパス,米本 拓司,長澤 和輝,54,24992
サンフレッチェ広島,エゼキエウ,森島 司,56,24993
サンフレッチェ広島,ドウグラス ヴィエイラ,鮎川 峻,67,24993
サンフレッチェ広島,荒木 隼人,茶島 雄介,73,24993
サンフレッチェ広島,藤井 智也,浅野 雄也,56,24993
サンフレッチェ広島,青山 敏弘,柴﨑 晃誠,73,24993
横浜F・マリノス,マルコス ジュニオール,水沼 宏太,73,24993
横浜F・マリノス,仲川 輝人,樺山 諒乃介,73,24993
横浜F・マリノス,前田 大然,エウベル,81,24993
横浜F・マリノス,岩田 智輝,渡辺 皓太,49,24993
アビスパ福岡,エミル サロモンソン,湯澤 聖人,71,24994
アビスパ福岡,フアンマ デルガド,ブルーノ メンデス,37,24994
アビスパ福岡,前 寛之,カウエ,71,24994
アビスパ福岡,山岸 祐也,城後 寿,71,24994
アビスパ福岡,金森 健志,吉岡 雅和,63,24994
横浜F・マリノス,エウベル,水沼 宏太,67,24994
横浜F・マリノス,マルコス ジュニオール,岩田 智輝,67,24994
横浜F・マリノス,仲川 輝人,オナイウ 阿道,67,24994
横浜F・マリノス,渡辺 皓太,樺山 諒乃介,90,24994
湘南ベルマーレ,平松 昇,田中 聡,46,24995
湘南ベルマーレ,柴田 壮介,茨田 陽生,46,24995
湘南ベルマーレ,池田 昌生,岡本 拓也,46,24995
湘南ベルマーレ,田中 聡,大岩 一貴,59,24995
湘南ベルマーレ,町野 修斗,石原 直樹,79,24995
鹿島アントラーズ,エヴェラウド,染野 唯月,79,24995
鹿島アントラーズ,ファン アラーノ,松村 優太,72,24995
鹿島アントラーズ,土居 聖真,遠藤 康,79,24995
鹿島アントラーズ,永木 亮太,レオ シルバ,72,24995
鹿島アントラーズ,荒木 遼太郎,和泉 竜司,72,24995
名古屋グランパス,柿谷 曜一朗,山﨑 凌吾,68,24996
名古屋グランパス,相馬 勇紀,長澤 和輝,84,24996
名古屋グランパス,米本 拓司,木本 恭生,68,24996
名古屋グランパス,阿部 浩之,前田 直輝,55,24996
柏レイソル,イッペイ シノヅカ,クリスティアーノ,62,24996
柏レイソル,呉屋 大翔,細谷 真大,71,24996
柏レイソル,瀬川 祐輔,仲間 隼斗,62,24996
FC東京,レアンドロ,永井 謙佑,71,24997
FC東京,中村 帆高,中村 拓海,71,24997
FC東京,東 慶悟,三田 啓貴,55,24997
FC東京,田川 亨介,ディエゴ オリヴェイラ,55,24997
ヴィッセル神戸,セルジ サンペール,増山 朝陽,66,24997
ヴィッセル神戸,ドウグラス,安井 拓也,88,24997
ヴィッセル神戸,井上 潮音,佐々木 大樹,82,24997
川崎フロンターレ,ジョアン シミッチ,塚川 孝輝,64,24998
川崎フロンターレ,レアンドロ ダミアン,小林 悠,64,24998
川崎フロンターレ,三笘 薫,長谷川 竜也,80,24998
川崎フロンターレ,家長 昭博,遠野 大弥,80,24998
川崎フロンターレ,脇坂 泰斗,橘田 健人,64,24998
徳島ヴォルティス,吹ヶ 徳喜,ジエゴ,71,24998
徳島ヴォルティス,垣田 裕暉,河田 篤秀,64,24998
徳島ヴォルティス,岸本 武流,藤田 征也,83,24998
徳島ヴォルティス,藤原 志龍,川上 エドオジョン 智慧,71,24998
徳島ヴォルティス,藤田 譲瑠チマ,小西 雄大,83,24998
ガンバ大阪,ウェリントン シウバ,宇佐美 貴史,69,24999
ガンバ大阪,チュ セジョン,倉田 秋,69,24999
ガンバ大阪,一美 和成,矢島 慎也,69,24999
ガンバ大阪,奥野 耕平,髙尾 瑠,50,24999
ガンバ大阪,菅沼 駿哉,レアンドロ ペレイラ,79,24999
大分トリニータ,上夷 克典,刀根 亮輔,81,24999
大分トリニータ,井上 健太,梅崎 司,81,24999
大分トリニータ,小林 成豪,野村 直輝,46,24999
大分トリニータ,町田 也真人,呉屋 大翔,58,24999
大分トリニータ,長谷川 雄志,羽田 健人,66,24999
セレッソ大阪,大久保 嘉人,高木 俊幸,90,25000
セレッソ大阪,奥埜 博亮,藤田 直之,62,25000
セレッソ大阪,清武 弘嗣,松田 力,90,25000
セレッソ大阪,豊川 雄太,加藤 陸次樹,62,25000
清水エスパルス,カルリーニョス ジュニオ,西澤 健太,80,25000
清水エスパルス,後藤 優介,ディサロ 燦シルヴァーノ,60,25000
清水エスパルス,河井 陽介,ヘナト アウグスト,80,25000
清水エスパルス,竹内 涼,鈴木 唯人,89,25000
サンフレッチェ広島,ドウグラス ヴィエイラ,ジュニオール サントス,61,25001
サンフレッチェ広島,柏 好文,エゼキエウ,82,25001
サンフレッチェ広島,柴﨑 晃誠,野上 結貴,70,25001
サンフレッチェ広島,浅野 雄也,長沼 洋一,70,25001
サンフレッチェ広島,藤井 智也,川辺 駿,46,25001
北海道コンサドーレ札幌,深井 一希,岡村 大八,85,25001
北海道コンサドーレ札幌,菅 大輝,中島 大嘉,67,25001
北海道コンサドーレ札幌,高嶺 朋樹,小野 伸二,85,25001
サガン鳥栖,仙頭 啓矢,梁 勇基,79,25002
サガン鳥栖,小屋松 知哉,内田 裕斗,69,25002
サガン鳥栖,山下 敬大,酒井 宣福,69,25002
サガン鳥栖,林 大地,本田 風智,69,25002
サガン鳥栖,飯野 七聖,島川 俊郎,84,25002
ベガルタ仙台,マルティノス,石原 崇兆,63,25002
ベガルタ仙台,平岡 康裕,アピアタウィア 久,77,25002
ベガルタ仙台,松下 佳貴,富田 晋伍,77,25002
ベガルタ仙台,氣田 亮真,加藤 千尋,77,25002
ベガルタ仙台,赤﨑 秀平,皆川 佑介,63,25002
横浜FC,中塩 大貴,袴田 裕太郎,46,25003
横浜FC,中村 俊輔,手塚 康平,46,25003
横浜FC,伊藤 翔,杉本 竜士,90,25003
横浜FC,小川 慶治朗,三浦 知良,90,25003
横浜FC,渡邉 千真,ジャーメイン 良,69,25003
浦和レッズ,小泉 佳穂,武田 英寿,77,25003
浦和レッズ,明本 考浩,田中 達也,46,25003
浦和レッズ,杉本 健勇,興梠 慎三,82,25003
浦和レッズ,汰木 康也,関根 貴大,77,25003
浦和レッズ,阿部 勇樹,金子 大毅,65,25003
ガンバ大阪,ウェリントン シウバ,宇佐美 貴史,70,25004
ガンバ大阪,チュ セジョン,奥野 耕平,70,25004
ガンバ大阪,レアンドロ ペレイラ,パトリック,75,25004
ガンバ大阪,矢島 慎也,一美 和成,75,25004
ガンバ大阪,髙尾 瑠,黒川 圭介,35,25004
北海道コンサドーレ札幌,ジェイ,青木 亮太,64,25004
北海道コンサドーレ札幌,ルーカス フェルナンデス,菅 大輝,46,25004
北海道コンサドーレ札幌,小柏 剛,ドウグラス オリヴェイラ,85,25004
北海道コンサドーレ札幌,福森 晃斗,深井 一希,60,25004
北海道コンサドーレ札幌,荒野 拓馬,柳 貴博,64,25004
セレッソ大阪,丸橋 祐介,新井 直人,90,25005
セレッソ大阪,大久保 嘉人,高木 俊幸,69,25005
セレッソ大阪,奥埜 博亮,藤田 直之,69,25005
セレッソ大阪,豊川 雄太,加藤 陸次樹,83,25005
横浜FC,クレーベ,渡邉 千真,83,25005
横浜FC,ジャーメイン 良,小川 慶治朗,77,25005
横浜FC,瀬古 樹,伊藤 翔,69,25005
横浜FC,齋藤 功佑,安永 玲央,46,25005
アビスパ福岡,城後 寿,重廣 卓也,46,25006
アビスパ福岡,山岸 祐也,湯澤 聖人,85,25006
アビスパ福岡,石津 大介,田邉 草民,76,25006
アビスパ福岡,金森 健志,吉岡 雅和,81,25006
徳島ヴォルティス,垣田 裕暉,河田 篤秀,61,25006
徳島ヴォルティス,安部 崇士,福岡 将太,46,25006
徳島ヴォルティス,宮代 大聖,浜下 瑛,69,25006
徳島ヴォルティス,小西 雄大,岩尾 憲,69,25006
徳島ヴォルティス,渡井 理己,川上 エドオジョン 智慧,90,25006
徳島ヴォルティス,藤田 征也,岸本 武流,82,25006
ベガルタ仙台,アピアタウィア 久,蜂須賀 孝治,73,25007
ベガルタ仙台,松下 佳貴,加藤 千尋,88,25007
ベガルタ仙台,皆川 佑介,西村 拓真,63,25007
ベガルタ仙台,真瀬 拓海,赤﨑 秀平,73,25007
ベガルタ仙台,秋山 陽介,マルティノス,46,25007
湘南ベルマーレ,三幸 秀稔,舘 幸希,57,25007
湘南ベルマーレ,名古 新太郎,茨田 陽生,70,25007
湘南ベルマーレ,山田 直輝,古林 将太,82,25007
湘南ベルマーレ,石原 直樹,町野 修斗,57,25007
サンフレッチェ広島,エゼキエウ,茶島 雄介,62,25008
サンフレッチェ広島,森島 司,鮎川 峻,86,25008
サンフレッチェ広島,浅野 雄也,柏 好文,75,25008
サンフレッチェ広島,野上 結貴,佐々木 翔,46,25008
サンフレッチェ広島,青山 敏弘,長沼 洋一,75,25008
鹿島アントラーズ,ファン アラーノ,永木 亮太,78,25008
鹿島アントラーズ,レオ シルバ,遠藤 康,71,25008
鹿島アントラーズ,土居 聖真,染野 唯月,84,25008
鹿島アントラーズ,荒木 遼太郎,和泉 竜司,71,25008
ヴィッセル神戸,佐々木 大樹,井上 潮音,46,25009
ヴィッセル神戸,増山 朝陽,古橋 亨梧,64,25009
ヴィッセル神戸,安井 拓也,セルジ サンペール,46,25009
ヴィッセル神戸,山川 哲史,初瀬 亮,64,25009
ヴィッセル神戸,郷家 友太,藤本 憲明,84,25009
名古屋グランパス,ガブリエル シャビエル,柿谷 曜一朗,59,25009
名古屋グランパス,マテウス,中谷 進之介,89,25009
名古屋グランパス,山﨑 凌吾,前田 直輝,77,25009
名古屋グランパス,長澤 和輝,米本 拓司,77,25009
名古屋グランパス,齋藤 学,相馬 勇紀,59,25009
川崎フロンターレ,ジョアン シミッチ,塚川 孝輝,46,25010
川崎フロンターレ,小林 悠,レアンドロ ダミアン,64,25010
川崎フロンターレ,脇坂 泰斗,橘田 健人,46,25010
川崎フロンターレ,長谷川 竜也,三笘 薫,46,25010
柏レイソル,クリスティアーノ,イッペイ シノヅカ,84,25010
柏レイソル,仲間 隼斗,鵜木 郁哉,84,25010
柏レイソル,呉屋 大翔,細谷 真大,70,25010
柏レイソル,椎橋 慧也,大谷 秀和,86,25010
横浜F・マリノス,エウベル,天野 純,80,25011
横浜F・マリノス,ティーラトン,小池 龍太,25,25011
横浜F・マリノス,マルコス ジュニオール,渡辺 皓太,62,25011
横浜F・マリノス,仲川 輝人,水沼 宏太,62,25011
横浜F・マリノス,前田 大然,オナイウ 阿道,62,25011
浦和レッズ,伊藤 敦樹,田中 達也,46,25011
浦和レッズ,小泉 佳穂,柴戸 海,76,25011
浦和レッズ,杉本 健勇,伊藤 涼太郎,65,25011
浦和レッズ,汰木 康也,関根 貴大,65,25011
浦和レッズ,阿部 勇樹,金子 大毅,46,25011
サガン鳥栖,小屋松 知哉,大畑 歩夢,89,25012
サガン鳥栖,山下 敬大,酒井 宣福,89,25012
サガン鳥栖,林 大地,本田 風智,62,25012
清水エスパルス,カルリーニョス ジュニオ,西澤 健太,83,25012
清水エスパルス,チアゴ サンタナ,ディサロ 燦シルヴァーノ,72,25012
清水エスパルス,ヘナト アウグスト,竹内 涼,64,25012
清水エスパルス,河井 陽介,中村 慶太,72,25012
清水エスパルス,鈴木 唯人,後藤 優介,64,25012
FC東京,アダイウトン,レアンドロ,72,25013
FC東京,ディエゴ オリヴェイラ,永井 謙佑,81,25013
FC東京,中村 拓海,中村 帆高,81,25013
FC東京,渡邊 凌磨,髙萩 洋次郎,59,25013
FC東京,青木 拓矢,アルトゥール シルバ,72,25013
大分トリニータ,上夷 克典,黒﨑 隼人,56,25013
大分トリニータ,井上 健太,刀根 亮輔,73,25013
大分トリニータ,小林 成豪,髙澤 優也,56,25013
大分トリニータ,羽田 健人,長谷川 雄志,89,25013
大分トリニータ,長沢 駿,伊佐 耕平,73,25013
FC東京,アルトゥール シルバ,安部 柊斗,56,25014
FC東京,ディエゴ オリヴェイラ,永井 謙佑,84,25014
FC東京,中村 拓海,小川 諒也,79,25014
FC東京,渡邊 凌磨,アダイウトン,56,25014
FC東京,田川 亨介,内田 宅哉,79,25014
湘南ベルマーレ,大野 和成,三幸 秀稔,68,25014
湘南ベルマーレ,山田 直輝,茨田 陽生,88,25014
湘南ベルマーレ,岡本 拓也,古林 将太,79,25014
湘南ベルマーレ,田中 聡,舘 幸希,79,25014
湘南ベルマーレ,町野 修斗,石原 直樹,68,25014
ヴィッセル神戸,セルジ サンペール,藤本 憲明,77,25015
ヴィッセル神戸,ドウグラス,増山 朝陽,61,25015
ヴィッセル神戸,井上 潮音,佐々木 大樹,77,25015
ヴィッセル神戸,山川 哲史,初瀬 亮,86,25015
川崎フロンターレ,ジョアン シミッチ,塚川 孝輝,77,25015
川崎フロンターレ,レアンドロ ダミアン,小林 悠,90,25015
川崎フロンターレ,家長 昭博,遠野 大弥,64,25015
川崎フロンターレ,旗手 怜央,車屋 紳太郎,90,25015
川崎フロンターレ,脇坂 泰斗,橘田 健人,77,25015
サンフレッチェ広島,柏 好文,ジュニオール サントス,71,25016
サンフレッチェ広島,柴﨑 晃誠,茶島 雄介,88,25016
サンフレッチェ広島,浅野 雄也,野上 結貴,71,25016
サンフレッチェ広島,鮎川 峻,長沼 洋一,82,25016
清水エスパルス,ヘナト アウグスト,河井 陽介,54,25016
清水エスパルス,中山 克広,西澤 健太,80,25016
清水エスパルス,後藤 優介,カルリーニョス ジュニオ,54,25016
清水エスパルス,立田 悠悟,ヴァウド,66,25016
清水エスパルス,鈴木 唯人,ディサロ 燦シルヴァーノ,66,25016
北海道コンサドーレ札幌,ルーカス フェルナンデス,青木 亮太,81,25017
北海道コンサドーレ札幌,深井 一希,岡村 大八,87,25017
北海道コンサドーレ札幌,駒井 善成,高嶺 朋樹,77,25017
浦和レッズ,小泉 佳穂,伊藤 敦樹,64,25017
浦和レッズ,明本 考浩,武藤 雄樹,89,25017
浦和レッズ,汰木 康也,大久保 智明,64,25017
浦和レッズ,関根 貴大,田中 達也,53,25017
名古屋グランパス,ガブリエル シャビエル,マテウス,57,25018
名古屋グランパス,前田 直輝,山﨑 凌吾,71,25018
名古屋グランパス,柿谷 曜一朗,齋藤 学,90,25018
名古屋グランパス,米本 拓司,木本 恭生,90,25018
横浜FC,クレーベ,渡邉 千真,83,25018
横浜FC,ジャーメイン 良,伊藤 翔,64,25018
横浜FC,松尾 佑介,小川 慶治朗,83,25018
横浜FC,齋藤 功佑,杉本 竜士,74,25018
アビスパ福岡,カウエ,金森 健志,46,25019
アビスパ福岡,三國 ケネディエブス,輪湖 直樹,72,25019
アビスパ福岡,吉岡 雅和,山岸 祐也,46,25019
アビスパ福岡,石津 大介,田邉 草民,64,25019
アビスパ福岡,重廣 卓也,カルロス グティエレス,89,25019
鹿島アントラーズ,エヴェラウド,染野 唯月,79,25019
鹿島アントラーズ,和泉 竜司,ファン アラーノ,30,25019
鹿島アントラーズ,土居 聖真,松村 優太,69,25019
鹿島アントラーズ,永木 亮太,犬飼 智也,46,25019
鹿島アントラーズ,荒木 遼太郎,レオ シルバ,46,25019
ガンバ大阪,奥野 耕平,チアゴ アウベス,83,25020
ガンバ大阪,宇佐美 貴史,ウェリントン シウバ,63,25020
ガンバ大阪,小野瀬 康介,倉田 秋,83,25020
ガンバ大阪,矢島 慎也,柳澤 亘,67,25020
ベガルタ仙台,上原 力也,フォギーニョ,80,25020
ベガルタ仙台,氣田 亮真,エマヌエル オッティ,67,25020
ベガルタ仙台,石原 崇兆,蜂須賀 孝治,58,25020
ベガルタ仙台,西村 拓真,フェリペ カルドーゾ,67,25020
ベガルタ仙台,関口 訓充,加藤 千尋,58,25020
徳島ヴォルティス,吹ヶ 徳喜,ジエゴ,79,25021
徳島ヴォルティス,宮代 大聖,川上 エドオジョン 智慧,89,25021
徳島ヴォルティス,小西 雄大,鈴木 徳真,79,25021
徳島ヴォルティス,藤原 志龍,垣田 裕暉,69,25021
横浜F・マリノス,マルコス ジュニオール,樺山 諒乃介,90,25021
横浜F・マリノス,仲川 輝人,水沼 宏太,65,25021
横浜F・マリノス,前田 大然,オナイウ 阿道,65,25021
横浜F・マリノス,渡辺 皓太,岩田 智輝,77,25021
セレッソ大阪,大久保 嘉人,西川 潤,64,25022
セレッソ大阪,奥埜 博亮,藤田 直之,90,25022
セレッソ大阪,豊川 雄太,加藤 陸次樹,85,25022
大分トリニータ,下田 北斗,小林 裕紀,58,25022
大分トリニータ,伊佐 耕平,小林 成豪,71,25022
大分トリニータ,渡邉 新太,屋敷 優成,83,25022
大分トリニータ,高畑 奎汰,三竿 雄斗,58,25022
大分トリニータ,黒﨑 隼人,松本 怜,71,25022
サガン鳥栖,大畑 歩夢,飯野 七聖,61,25023
サガン鳥栖,松岡 大起,仙頭 啓矢,61,25023
サガン鳥栖,林 大地,山下 敬大,72,25023
サガン鳥栖,樋口 雄太,ファン ソッコ,83,25023
サガン鳥栖,石井 快征,小屋松 知哉,61,25023
柏レイソル,ヒシャルジソン,大谷 秀和,46,25023
柏レイソル,仲間 隼斗,三丸 拡,46,25023
柏レイソル,北爪 健吾,マテウス サヴィオ,64,25023
柏レイソル,呉屋 大翔,細谷 真大,46,25023
柏レイソル,江坂 任,瀬川 祐輔,68,25023
ヴィッセル神戸,セルジ サンペール,大﨑 玲央,90,25024
ヴィッセル神戸,佐々木 大樹,安井 拓也,90,25024
ヴィッセル神戸,古橋 亨梧,小田 裕太郎,77,25024
ヴィッセル神戸,増山 朝陽,初瀬 亮,84,25024
ヴィッセル神戸,藤本 憲明,中坂 勇哉,46,25024
北海道コンサドーレ札幌,チャナティップ,高嶺 朋樹,62,25024
北海道コンサドーレ札幌,菅 大輝,青木 亮太,79,25024
北海道コンサドーレ札幌,駒井 善成,中島 大嘉,90,25024
FC東京,アダイウトン,永井 謙佑,71,25025
