team,player_name,minute,match_card_id
横浜F・マリノス,マルコス ジュニオール,38,24994
横浜F・マリノス,前田 大然,90,24994
横浜F・マリノス,前田 大然,90,24994
横浜F・マリノス,小池 龍太,62,24994
横浜F・マリノス,小池 龍太,62,24994
湘南ベルマーレ,岡本 拓也,86,24995
湘南ベルマーレ,岡本 拓也,86,24995
鹿島アントラーズ,町田 浩樹,89,24995
鹿島アントラーズ,町田 浩樹,89,24995
鹿島アントラーズ,荒木 遼太郎,3,24995
鹿島アントラーズ,荒木 遼太郎,60,24995
鹿島アントラーズ,荒木 遼太郎,3,24995
鹿島アントラーズ,荒木 遼太郎,60,24995
名古屋グランパス,稲垣 祥,58,24996
名古屋グランパス,稲垣 祥,58,24996
FC東京,ディエゴ オリヴェイラ,74,24997
FC東京,ディエゴ オリヴェイラ,74,24997
FC東京,永井 謙佑,77,24997
FC東京,永井 謙佑,77,24997
ヴィッセル神戸,ドウグラス,5,24997
ヴィッセル神戸,ドウグラス,65,24997
ヴィッセル神戸,ドウグラス,5,24997
ヴィッセル神戸,ドウグラス,65,24997
ヴィッセル神戸,郷家 友太,85,24997
ヴィッセル神戸,郷家 友太,85,24997
川崎フロンターレ,レアンドロ ダミアン,12,24998
川崎フロンターレ,レアンドロ ダミアン,42,24998
川崎フロンターレ,レアンドロ ダミアン,12,24998
川崎フロンターレ,レアンドロ ダミアン,42,24998
ガンバ大阪,レアンドロ ペレイラ,84,24999
ガンバ大阪,レアンドロ ペレイラ,84,24999
ガンバ大阪,宇佐美 貴史,90,24999
ガンバ大阪,宇佐美 貴史,90,24999
大分トリニータ,エンリケ トレヴィザン,60,24999
大分トリニータ,エンリケ トレヴィザン,60,24999
セレッソ大阪,清武 弘嗣,84,25000
セレッソ大阪,清武 弘嗣,84,25000
セレッソ大阪,西尾 隆矢,22,25000
セレッソ大阪,西尾 隆矢,22,25000
清水エスパルス,中山 克広,5,25000
清水エスパルス,中山 克広,5,25000
サンフレッチェ広島,柏 好文,8,25001
サンフレッチェ広島,柏 好文,8,25001
サンフレッチェ広島,柴﨑 晃誠,2,25001
サンフレッチェ広島,柴﨑 晃誠,2,25001
北海道コンサドーレ札幌,アンデルソン ロペス,43,25001
北海道コンサドーレ札幌,アンデルソン ロペス,43,25001
サガン鳥栖,エドゥアルド,25,25002
サガン鳥栖,エドゥアルド,25,25002
サガン鳥栖,小屋松 知哉,39,25002
サガン鳥栖,小屋松 知哉,39,25002
サガン鳥栖,山下 敬大,5,25002
サガン鳥栖,山下 敬大,5,25002
サガン鳥栖,樋口 雄太,56,25002
サガン鳥栖,樋口 雄太,56,25002
サガン鳥栖,酒井 宣福,90,25002
サガン鳥栖,酒井 宣福,90,25002
浦和レッズ,杉本 健勇,37,25003
浦和レッズ,杉本 健勇,37,25003
浦和レッズ,阿部 勇樹,45,25003
浦和レッズ,阿部 勇樹,45,25003
ガンバ大阪,レアンドロ ペレイラ,53,25004
ガンバ大阪,レアンドロ ペレイラ,53,25004
ガンバ大阪,矢島 慎也,29,25004
ガンバ大阪,矢島 慎也,29,25004
セレッソ大阪,加藤 陸次樹,87,25005
セレッソ大阪,加藤 陸次樹,87,25005
セレッソ大阪,大久保 嘉人,60,25005
セレッソ大阪,大久保 嘉人,60,25005
セレッソ大阪,豊川 雄太,25,25005
セレッソ大阪,豊川 雄太,25,25005
セレッソ大阪,高木 俊幸,90,25005
セレッソ大阪,高木 俊幸,90,25005
横浜FC,ジャーメイン 良,55,25005
横浜FC,ジャーメイン 良,55,25005
アビスパ福岡,エミル サロモンソン,53,25006
アビスパ福岡,エミル サロモンソン,53,25006
アビスパ福岡,金森 健志,68,25006
アビスパ福岡,金森 健志,68,25006
徳島ヴォルティス,垣田 裕暉,2,25006
徳島ヴォルティス,垣田 裕暉,2,25006
ベガルタ仙台,松下 佳貴,70,25007
ベガルタ仙台,松下 佳貴,70,25007
湘南ベルマーレ,名古 新太郎,54,25007
湘南ベルマーレ,名古 新太郎,54,25007
湘南ベルマーレ,町野 修斗,62,25007
湘南ベルマーレ,町野 修斗,62,25007
湘南ベルマーレ,高橋 諒,2,25007
湘南ベルマーレ,高橋 諒,2,25007
サンフレッチェ広島,浅野 雄也,30,25008
サンフレッチェ広島,浅野 雄也,30,25008
鹿島アントラーズ,荒木 遼太郎,69,25008
鹿島アントラーズ,荒木 遼太郎,69,25008
名古屋グランパス,稲垣 祥,19,25009
名古屋グランパス,稲垣 祥,19,25009
川崎フロンターレ,家長 昭博,80,25010
川崎フロンターレ,家長 昭博,80,25010
横浜F・マリノス,前田 大然,3,25011
横浜F・マリノス,前田 大然,26,25011
横浜F・マリノス,前田 大然,26,25011
横浜F・マリノス,前田 大然,3,25011
横浜F・マリノス,小池 龍太,55,25011
横浜F・マリノス,小池 龍太,55,25011
FC東京,渡邊 凌磨,28,25013
FC東京,渡邊 凌磨,28,25013
大分トリニータ,町田 也真人,76,25013
大分トリニータ,町田 也真人,76,25013
FC東京,ディエゴ オリヴェイラ,40,25014
FC東京,ディエゴ オリヴェイラ,40,25014
FC東京,渡辺 剛,81,25014
FC東京,渡辺 剛,81,25014
FC東京,田川 亨介,37,25014
FC東京,田川 亨介,37,25014
湘南ベルマーレ,山田 直輝,27,25014
湘南ベルマーレ,山田 直輝,27,25014
湘南ベルマーレ,高橋 諒,79,25014
湘南ベルマーレ,高橋 諒,79,25014
ヴィッセル神戸,菊池 流帆,90,25015
ヴィッセル神戸,菊池 流帆,90,25015
川崎フロンターレ,レアンドロ ダミアン,72,25015
川崎フロンターレ,レアンドロ ダミアン,72,25015
サンフレッチェ広島,荒木 隼人,59,25016
サンフレッチェ広島,荒木 隼人,59,25016
名古屋グランパス,マテウス,63,25018
名古屋グランパス,マテウス,63,25018
名古屋グランパス,前田 直輝,52,25018
名古屋グランパス,前田 直輝,52,25018
名古屋グランパス,山﨑 凌吾,90,25018
名古屋グランパス,山﨑 凌吾,90,25018
