match_card_id,detail_url,season,competition,section,match_date,kickoff,home_team,score,away_team,stadium,attendance
31396,https://data.j-league.or.jp/SFMS02/?match_card_id=31396,2025,Ｊ１,第４節第２日,25/03/02(日),14:03,新潟,2-2,Ｃ大阪,デンカＳ,"22,933"
31397,https://data.j-league.or.jp/SFMS02/?match_card_id=31397,2025,Ｊ１,第４節第２日,25/03/02(日),14:03,名古屋,1-2,町田,豊田ス,"34,718"
31398,https://data.j-league.or.jp/SFMS02/?match_card_id=31398,2025,Ｊ１,第４節第２日,25/03/02(日),14:03,岡山,1-1,清水,ＪＦＥス,"13,330"
31399,https://data.j-league.or.jp/SFMS02/?match_card_id=31399,2025,Ｊ１,第４節第２日,25/03/02(日),14:31,広島,1-0,横浜FC,Ｅピース,"25,043"
31400,https://data.j-league.or.jp/SFMS02/?match_card_id=31400,2025,Ｊ１,第４節第２日,25/03/02(日),15:03,浦和,0-2,柏,埼玉,"51,009"
31401,https://data.j-league.or.jp/SFMS02/?match_card_id=31401,2025,Ｊ１,第５節第１日,25/03/08(土),14:03,浦和,1-0,岡山,埼玉,"35,269"
31402,https://data.j-league.or.jp/SFMS02/?match_card_id=31402,2025,Ｊ１,第５節第１日,25/03/08(土),16:03,柏,1-3,鹿島,三協Ｆ柏,"13,309"
31403,https://data.j-league.or.jp/SFMS02/?match_card_id=31403,2025,Ｊ１,第５節第１日,25/03/08(土),16:03,横浜FC,0-2,町田,ニッパツ,"7,934"
31404,https://data.j-league.or.jp/SFMS02/?match_card_id=31404,2025,Ｊ１,第５節第１日,25/03/08(土),14:08,新潟,2-2,東京Ｖ,デンカＳ,"20,503"
31405,https://data.j-league.or.jp/SFMS02/?match_card_id=31405,2025,Ｊ１,第５節第１日,25/03/08(土),16:03,FC東京,0-0,湘南,味スタ,"19,654"
31406,https://data.j-league.or.jp/SFMS02/?match_card_id=31406,2025,Ｊ１,第５節第１日,25/03/08(土),15:03,Ｇ大阪,1-0,清水,パナスタ,"29,071"
31407,https://data.j-league.or.jp/SFMS02/?match_card_id=31407,2025,Ｊ１,第５節第１日,25/03/08(土),16:03,Ｃ大阪,1-1,名古屋,ヨドコウ,"17,171"
31408,https://data.j-league.or.jp/SFMS02/?match_card_id=31408,2025,Ｊ１,第５節第２日,25/03/09(日),14:03,京都,0-1,福岡,サンガＳ,"11,535"
31409,https://data.j-league.or.jp/SFMS02/?match_card_id=31409,2025,Ｊ１,第５節第３日,25/04/09(水),19:03,川崎Ｆ,3-3,横浜FM,Ｕ等々力,"21,478"
31410,https://data.j-league.or.jp/SFMS02/?match_card_id=31410,2025,Ｊ１,第５節第４日,25/07/02(水),19:03,神戸,1-0,広島,ノエスタ,"14,950"
31411,https://data.j-league.or.jp/SFMS02/?match_card_id=31411,2025,Ｊ１,第６節第１日,25/03/15(土),14:03,東京Ｖ,2-1,名古屋,味スタ,"16,300"
31412,https://data.j-league.or.jp/SFMS02/?match_card_id=31412,2025,Ｊ１,第６節第１日,25/03/15(土),14:03,町田,1-0,新潟,Ｇスタ,"10,152"
31413,https://data.j-league.or.jp/SFMS02/?match_card_id=31413,2025,Ｊ１,第６節第１日,25/03/15(土),14:03,横浜FC,2-0,Ｃ大阪,ニッパツ,"6,431"
31414,https://data.j-league.or.jp/SFMS02/?match_card_id=31414,2025,Ｊ１,第６節第１日,25/03/15(土),14:03,福岡,1-0,FC東京,ベススタ,"7,721"
31415,https://data.j-league.or.jp/SFMS02/?match_card_id=31415,2025,Ｊ１,第６節第２日,25/03/16(日),13:03,清水,1-2,京都,アイスタ,"14,012"
31416,https://data.j-league.or.jp/SFMS02/?match_card_id=31416,2025,Ｊ１,第６節第２日,25/03/16(日),14:03,鹿島,1-1,浦和,カシマ,"31,574"
