match_card_id,team,match_date,team_core_score,team_momentum,team_stability,core_player_count,available_player_count
25016,清水エスパルス,,0.610026,0.564573,0.727273,10,18
25017,北海道コンサドーレ札幌,,0.617279,0.554635,0.454545,10,17
25017,浦和レッズ,,0.614406,0.552029,0.818182,10,18
25018,名古屋グランパス,,0.693804,0.631011,0.545455,12,18
25018,横浜FC,,0.693315,0.620427,0.727273,11,18
25019,アビスパ福岡,,0.619257,0.564756,0.727273,10,17
25019,鹿島アントラーズ,,0.670182,0.607702,0.545455,10,17
25020,ガンバ大阪,,0.639637,0.573974,0.454545,12,17
25020,ベガルタ仙台,,0.539352,0.476852,0.636364,10,14
25021,徳島ヴォルティス,,0.628025,0.563927,0.454545,12,18
25021,横浜F・マリノス,,0.656289,0.592369,0.818182,12,17
25022,セレッソ大阪,,0.644159,0.605849,1.0,11,17
25022,大分トリニータ,,0.575869,0.498652,0.181818,10,17
25023,サガン鳥栖,,0.677335,0.612109,0.545455,11,18
25023,柏レイソル,,0.613611,0.562153,0.818182,11,16
25024,ヴィッセル神戸,,0.519861,0.460685,0.636364,8,15
25024,北海道コンサドーレ札幌,,0.639167,0.584046,0.909091,11,18
25025,FC東京,,0.620273,0.550405,0.545455,12,17
25025,ベガルタ仙台,,0.698066,0.637811,0.636364,12,18
25026,ガンバ大阪,,0.644522,0.575691,0.545455,13,17
25026,横浜F・マリノス,,0.519784,0.478897,0.454545,10,14
25027,徳島ヴォルティス,,0.69392,0.632844,0.727273,12,18
25027,横浜FC,,0.623855,0.571009,0.818182,12,16
25028,アビスパ福岡,,0.661836,0.595276,0.727273,11,18
25028,サガン鳥栖,,0.639239,0.56973,0.545455,10,18
25029,サンフレッチェ広島,,0.660381,0.578741,0.454545,11,18
25029,大分トリニータ,,0.737078,0.681164,0.272727,16,18
25030,川崎フロンターレ,,0.66348,0.580691,0.818182,11,18
25030,浦和レッズ,,0.682752,0.627874,0.818182,11,18
25031,セレッソ大阪,,0.659174,0.605883,1.0,11,18
25031,湘南ベルマーレ,,0.683197,0.623471,0.818182,12,18
25032,名古屋グランパス,,0.643503,0.575872,0.818182,11,18
25032,鹿島アントラーズ,,0.683917,0.618188,0.454545,12,18
25033,柏レイソル,,0.58385,0.508974,0.545455,8,18
25033,清水エスパルス,,0.573002,0.52517,0.545455,10,17
25034,サガン鳥栖,,0.66088,0.60738,0.727273,12,17
25034,セレッソ大阪,,0.53911,0.490929,0.818182,9,16
25035,横浜F・マリノス,,0.668827,0.624469,0.636364,12,18
25035,湘南ベルマーレ,,0.717423,0.642823,1.0,12,18
25036,ベガルタ仙台,,0.699918,0.633635,0.636364,11,18
25036,ヴィッセル神戸,,0.616713,0.553975,0.727273,10,18
25037,柏レイソル,,0.635419,0.565869,0.818182,10,18
25037,横浜FC,,0.562641,0.494281,0.454545,7,16
25038,FC東京,,0.662978,0.596202,0.909091,10,18
25038,名古屋グランパス,,0.647809,0.577636,0.818182,11,18
25039,ガンバ大阪,,0.638284,0.563723,0.363636,13,17
25039,サンフレッチェ広島,,0.684066,0.617,0.727273,11,18
25040,アビスパ福岡,,0.620486,0.552981,0.636364,11,16
25040,北海道コンサドーレ札幌,,0.671993,0.618077,0.727273,11,18
25041,浦和レッズ,,0.588724,0.530478,0.545455,11,16
25041,鹿島アントラーズ,,0.577886,0.520403,0.545455,9,17
25042,大分トリニータ,,0.639498,0.557659,0.818182,12,18
25042,川崎フロンターレ,,0.587377,0.533142,0.636364,10,16
25043,徳島ヴォルティス,,0.659007,0.59623,0.818182,12,17
25043,清水エスパルス,,0.636906,0.587664,0.818182,10,17
25044,柏レイソル,,0.689308,0.623925,0.818182,12,18
25044,鹿島アントラーズ,,0.697845,0.629916,0.636364,13,18
25045,FC東京,,0.673758,0.61434,0.818182,11,18
25045,北海道コンサドーレ札幌,,0.672531,0.626608,0.727273,12,17
25046,サガン鳥栖,,0.638804,0.581892,0.636364,12,17
25046,川崎フロンターレ,,0.614931,0.547907,0.727273,10,18
25047,サンフレッチェ広島,,0.662438,0.586029,0.818182,11,18
25047,横浜FC,,0.624707,0.555617,0.909091,9,18
25048,名古屋グランパス,,0.701667,0.640704,0.636364,11,18
25048,湘南ベルマーレ,,0.696381,0.625003,1.0,12,18
25049,浦和レッズ,,0.652438,0.59189,1.0,12,18
25049,清水エスパルス,,0.628696,0.566424,0.454545,10,17
25050,アビスパ福岡,,0.633603,0.552985,0.454545,10,16
25050,ガンバ大阪,,0.649877,0.574716,0.545455,11,18
25051,ヴィッセル神戸,,0.668812,0.614142,0.818182,11,18
25051,大分トリニータ,,0.714419,0.629592,0.818182,13,18
25052,ベガルタ仙台,,0.596034,0.529735,0.727273,11,16
25052,徳島ヴォルティス,,0.673505,0.588578,0.909091,10,17
25053,セレッソ大阪,,0.422245,0.378272,0.727273,6,16
25053,横浜F・マリノス,,0.643248,0.579187,0.636364,12,18
25054,サンフレッチェ広島,,0.531728,0.468512,0.272727,8,15
25054,湘南ベルマーレ,,0.63732,0.5595,0.727273,10,17
25055,北海道コンサドーレ札幌,,0.674097,0.616157,0.727273,12,18
25055,鹿島アントラーズ,,0.697284,0.625156,0.818182,13,18
25056,ベガルタ仙台,,0.691443,0.615992,0.909091,11,18
25056,横浜F・マリノス,,0.717428,0.659214,0.909091,14,18
25057,FC東京,,0.634336,0.550029,0.727273,11,18
25057,川崎フロンターレ,,0.627739,0.558994,0.636364,10,18
25058,ヴィッセル神戸,,0.640941,0.56392,0.909091,10,18
25058,清水エスパルス,,0.617796,0.572178,0.727273,9,17
25059,サガン鳥栖,,0.669676,0.597639,0.545455,12,18
25059,横浜FC,,0.650841,0.582594,0.545455,12,18
25060,名古屋グランパス,,0.643974,0.583535,0.636364,11,18
25060,大分トリニータ,,0.696389,0.617912,0.636364,12,18
25061,徳島ヴォルティス,,0.673881,0.590901,0.818182,11,18
25061,浦和レッズ,,0.657189,0.60068,0.909091,10,18
25062,ガンバ大阪,,0.652855,0.568622,0.636364,12,18
25062,柏レイソル,,0.675154,0.606299,0.727273,11,18
25063,アビスパ福岡,,0.695476,0.618189,0.272727,12,18
25063,セレッソ大阪,,0.57419,0.554097,0.818182,9,18
25064,北海道コンサドーレ札幌,,0.70179,0.641423,0.909091,13,18
25064,横浜F・マリノス,,0.630944,0.553419,0.636364,10,18
25065,ベガルタ仙台,,0.696929,0.625895,1.0,13,18
25065,横浜FC,,0.692515,0.625633,0.636364,14,18
25066,徳島ヴォルティス,,0.630069,0.563713,0.818182,10,17
25066,鹿島アントラーズ,,0.61463,0.541242,0.727273,11,18
25067,FC東京,,0.715201,0.637836,0.636364,12,18
25067,アビスパ福岡,,0.605152,0.537064,0.727273,10,16
25068,大分トリニータ,,0.718596,0.65234,0.818182,13,18
25068,柏レイソル,,0.61617,0.529399,0.727273,10,17
25069,ヴィッセル神戸,,0.672585,0.627605,0.818182,11,17
25069,湘南ベルマーレ,,0.669985,0.614333,0.818182,11,17
25070,サンフレッチェ広島,,0.705039,0.644114,0.454545,12,18
25070,川崎フロンターレ,,0.646327,0.586529,0.727273,11,17
25071,サガン鳥栖,,0.654905,0.605112,0.818182,12,17
25071,名古屋グランパス,,0.651535,0.594534,0.636364,11,18
25072,ガンバ大阪,,0.640658,0.571514,0.636364,12,17
25072,清水エスパルス,,0.611011,0.539975,0.818182,10,17
25073,セレッソ大阪,,0.599267,0.562469,1.0,10,18
25073,浦和レッズ,,0.65027,0.579596,0.909091,11,18
25074,セレッソ大阪,,0.668688,0.636117,0.636364,12,18
25074,川崎フロンターレ,,0.720123,0.648855,0.818182,12,18
25075,ガンバ大阪,,0.673889,0.604648,0.636364,13,18
25075,名古屋グランパス,,0.664144,0.607028,0.545455,11,18
25076,ベガルタ仙台,,0.663418,0.588762,0.909091,11,18
25076,北海道コンサドーレ札幌,,0.662022,0.594309,0.909091,12,18
25077,FC東京,,0.720309,0.645617,0.727273,12,18
25077,サガン鳥栖,,0.637052,0.590068,0.818182,11,17
25078,横浜FC,,0.679468,0.592648,0.636364,12,18
25078,横浜F・マリノス,,0.714329,0.655236,0.909091,14,18
25079,アビスパ福岡,,0.630424,0.553914,0.727273,11,17
25079,サンフレッチェ広島,,0.690417,0.630574,0.727273,12,18
25080,徳島ヴォルティス,,0.588915,0.534818,0.818182,10,15
25080,柏レイソル,,0.611026,0.564738,0.909091,11,15
25081,ヴィッセル神戸,,0.685201,0.635642,0.909091,11,16
25081,鹿島アントラーズ,,0.677852,0.612084,1.0,12,18
25082,清水エスパルス,,0.643187,0.582466,1.0,10,18
25082,湘南ベルマーレ,,0.63466,0.588676,0.818182,11,16
25083,大分トリニータ,,0.684977,0.621347,0.636364,11,18
25083,浦和レッズ,,0.687068,0.611812,0.909091,12,18
25084,ベガルタ仙台,,0.658248,0.592015,0.909091,12,17
25084,柏レイソル,,0.664807,0.606054,0.909091,11,17
25085,FC東京,,0.671759,0.589083,0.818182,12,18
25085,横浜F・マリノス,,0.71061,0.64259,0.909091,13,18
25086,アビスパ福岡,,0.6842,0.613218,0.909091,12,18
25086,浦和レッズ,,0.677145,0.616883,0.818182,10,18
25087,サンフレッチェ広島,,0.684015,0.605122,0.909091,12,18
25087,ヴィッセル神戸,,0.643225,0.577932,0.727273,10,17
25088,サガン鳥栖,,0.610285,0.564404,0.909091,10,17
25088,徳島ヴォルティス,,0.666083,0.599831,0.545455,11,17
25089,横浜FC,,0.723889,0.65837,0.727273,14,18
25089,鹿島アントラーズ,,0.710247,0.666193,0.909091,13,18
25090,大分トリニータ,,0.745185,0.692352,0.909091,15,18
