match_card_id,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_points_per_game,h2h_away_points_per_game,h2h_average_home_goals,h2h_average_away_goals,h2h_average_goal_difference,h2h_btts_rate,h2h_over_2_5_rate,h2h_last3_home_win_rate,h2h_last3_draw_rate,h2h_last3_away_win_rate,h2h_last3_goal_difference,h2h_last5_home_win_rate,h2h_last5_draw_rate,h2h_last5_away_win_rate,h2h_last5_goal_difference,h2h_same_venue_matches,h2h_same_venue_home_win_rate,h2h_same_venue_draw_rate,h2h_same_venue_away_win_rate,h2h_same_venue_goal_difference,h2h_weighted_home_win_rate,h2h_weighted_draw_rate,h2h_weighted_away_win_rate,h2h_weighted_goal_difference,h2h_days_since_last_match,h2h_home_unbeaten_streak,h2h_away_unbeaten_streak,h2h_confidence
27398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27399,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,267,2,2,0.25
26611,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26612,2,0.0,0.0,1.0,0.0,3.0,0.5,2.0,-1.5,0.5,0.5,0.0,0.0,1.0,-1.5,0.0,0.0,1.0,-1.5,1,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-1.4665794420718394,181,0,2,0.25
26613,2,0.0,0.0,1.0,0.0,3.0,0.5,2.0,-1.5,0.5,0.5,0.0,0.0,1.0,-1.5,0.0,0.0,1.0,-1.5,1,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.4599687837766822,181,0,2,0.25
26614,2,0.5,0.0,0.5,1.5,1.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1,0.0,0.0,1.0,-1.0,0.45549084529893624,0.0,0.5445091547010638,0.36647253589680867,210,0,1,0.25
27019,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,189,2,2,0.25
27020,2,0.5,0.0,0.5,1.5,1.5,2.0,1.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1,0.0,0.0,1.0,-1.0,0.5445091547010638,0.0,0.45549084529893624,0.6335274641031913,210,1,0,0.25
27402,2,0.5,0.0,0.5,1.5,1.5,2.0,2.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1,1.0,0.0,0.0,1.0,0.5305836848464422,0.0,0.46941631515355764,0.06116736969288456,245,1,0,0.25
26615,2,0.5,0.5,0.0,2.0,0.5,1.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,0.0,1.0,0.0,0.0,0.4741487420952062,0.5258512579047937,0.0,0.47414874209520597,238,2,1,0.25
26616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26617,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
26618,2,0.5,0.5,0.0,2.0,0.5,3.0,2.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,1,0.0,1.0,0.0,0.0,0.562809317991247,0.437190682008753,0.0,1.1256186359824942,147,2,0,0.25
26619,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,246,2,2,0.25
26620,2,0.5,0.5,0.0,2.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,0.0,1.0,0.0,0.0,0.46681576817775633,0.5331842318222436,0.0,0.46681576817775633,168,2,1,0.25
26621,2,0.0,0.0,1.0,0.0,3.0,1.0,2.5,-1.5,1.0,1.0,0.0,0.0,1.0,-1.5,0.0,0.0,1.0,-1.5,1,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.458318226012565,196,0,2,0.25
27021,2,0.5,0.5,0.0,2.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,0.0,1.0,0.0,0.0,0.515187593429306,0.4848124065706939,0.0,0.5151875934293061,217,2,0,0.25
27022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27024,2,0.5,0.5,0.0,2.0,0.5,1.5,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,1.0,0.0,0.0,1.0,0.5182700584064229,0.4817299415935771,0.0,0.5182700584064228,203,2,0,0.25
27025,2,0.0,0.5,0.5,0.5,2.0,1.0,1.5,-0.5,1.0,0.5,0.0,0.5,0.5,-0.5,0.0,0.5,0.5,-0.5,1,0.0,1.0,0.0,0.0,0.0,0.4717818946362747,0.5282181053637254,-0.5282181053637256,232,0,2,0.25
27026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27027,2,0.0,0.5,0.5,0.5,2.0,1.0,2.0,-1.0,0.5,0.5,0.0,0.5,0.5,-1.0,0.0,0.5,0.5,-1.0,1,0.0,0.0,1.0,-2.0,0.0,0.5132901024209395,0.4867098975790604,-0.9734197951581208,245,1,2,0.25
27403,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,134,2,2,0.25
27404,2,0.5,0.0,0.5,1.5,1.5,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1,0.0,0.0,1.0,-1.0,0.5123412098194099,0.0,0.4876587901805902,0.5370236294582296,340,1,0,0.25
27405,2,0.5,0.5,0.0,2.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,1.0,0.0,0.0,1.0,0.5428601861275213,0.45713981387247876,0.0,0.5428601861275213,218,2,0,0.25
27406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27407,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
27408,2,0.5,0.5,0.0,2.0,0.5,2.0,1.5,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1,1.0,0.0,0.0,1.0,0.5301106754568579,0.46988932454314203,0.0,0.5301106754568582,245,2,0,0.25
26622,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
