round_no,match_no,home_team,away_team,kickoff_at,venue,toto_result,product_type,competition
1287,2,名古屋,鳥栖,2022-03-06,豊田ス,0,mini_toto,J.League
1287,3,鹿島,柏,2022-03-06,カシマ,1,mini_toto,J.League
1287,4,長崎,甲府,2022-03-05,トラスタ,2,mini_toto,J.League
1287,5,徳島,東京V,2022-03-06,鳴門大塚,0,mini_toto,J.League
1287,6,横浜M,清水,2022-03-06,日産ス,1,mini_toto,J.League
1287,7,名古屋,鳥栖,2022-03-06,豊田ス,0,mini_toto,J.League
1287,8,鹿島,柏,2022-03-06,カシマ,1,mini_toto,J.League
1287,9,長崎,甲府,2022-03-05,トラスタ,2,mini_toto,J.League
1287,10,徳島,東京V,2022-03-06,鳴門大塚,0,mini_toto,J.League
1287,11,琉球,岩手,2022-03-05,タピスタ,2,mini_toto,J.League
1287,12,金沢,町田,2022-03-06,石川西部,2,mini_toto,J.League
1287,13,千葉,山形,2022-03-06,フクアリ,0,mini_toto,J.League
1288,1,磐田,G大阪,2022-03-12,ヤマハ,0,mini_toto,J.League
1288,2,川崎,名古屋,2022-03-12,等々力,1,mini_toto,J.League
1288,3,鳥栖,浦和,2022-03-13,駅スタ,1,mini_toto,J.League
1288,4,金沢,千葉,2022-03-13,石川西部,2,mini_toto,J.League
1288,5,山口,琉球,2022-03-12,みらスタ,2,mini_toto,J.League
1288,6,磐田,G大阪,2022-03-12,ヤマハ,0,mini_toto,J.League
1288,7,川崎,名古屋,2022-03-12,等々力,1,mini_toto,J.League
1288,8,鳥栖,浦和,2022-03-13,駅スタ,1,mini_toto,J.League
1288,9,金沢,千葉,2022-03-13,石川西部,2,mini_toto,J.League
1288,10,山口,琉球,2022-03-12,みらスタ,2,mini_toto,J.League
1288,11,秋田,新潟,2022-03-13,ソユスタ,1,mini_toto,J.League
1288,12,徳島,熊本,2022-03-12,鳴門大塚,0,mini_toto,J.League
1288,13,長崎,大分,2022-03-12,トラスタ,1,mini_toto,J.League
1289,1,浦和,磐田,2022-03-19,埼玉,1,mini_toto,J.League
1289,2,C大阪,札幌,2022-03-19,ヨドコウ,0,mini_toto,J.League
1289,3,名古屋,柏,2022-03-20,豊田ス,0,mini_toto,J.League
1289,4,山形,仙台,2022-03-20,NDスタ,2,mini_toto,J.League
1289,5,新潟,甲府,2022-03-19,デンカS,1,mini_toto,J.League
1289,6,浦和,磐田,2022-03-19,埼玉,1,mini_toto,J.League
1289,7,C大阪,札幌,2022-03-19,ヨドコウ,0,mini_toto,J.League
1289,8,名古屋,柏,2022-03-20,豊田ス,0,mini_toto,J.League
1289,9,山形,仙台,2022-03-20,NDスタ,2,mini_toto,J.League
1289,10,新潟,甲府,2022-03-19,デンカS,1,mini_toto,J.League
1289,11,琉球,水戸,2022-03-19,タピスタ,2,mini_toto,J.League
1289,12,大分,山口,2022-03-19,昭和電ド,0,mini_toto,J.League
1289,13,東京V,町田,2022-03-20,味スタ,1,mini_toto,J.League
1290,1,ウルグアイ,ペルー,2022-03-25,モンテビデ,1,mini_toto,Other
1290,2,コロンビア,ボリビア,2022-03-25,バランキー,1,mini_toto,Other
1290,3,ブラジル,チリ,2022-03-25,リオデジャ,1,mini_toto,Other
1290,4,パラグア,エクアドル,2022-03-25,シウダー,1,mini_toto,Other
1290,5,イタリア,北マケ,2022-03-25,パレルモ,2,mini_toto,Other
1290,6,中国,サウジ,2022-03-25,シャールジ,0,mini_toto,Other
1290,7,ウルグアイ,ペルー,2022-03-25,モンテビデ,1,mini_toto,Other
1290,8,コロンビア,ボリビア,2022-03-25,バランキー,1,mini_toto,Other
1290,9,ブラジル,チリ,2022-03-25,リオデジャ,1,mini_toto,Other
1290,10,パラグア,エクアドル,2022-03-25,シウダー,1,mini_toto,Other
1290,11,イタリア,北マケ,2022-03-25,パレルモ,2,mini_toto,Other
1290,12,ポルトガ,トルコ,2022-03-25,ポルト,1,mini_toto,Other
1290,13,スウェデン,チェコ,2022-03-25,ソルナ,0,mini_toto,Other
1291,1,名古屋,徳島,2022-03-26,豊田ス,1,mini_toto,J.League
1291,2,広島,清水,2022-03-26,Eスタ,2,mini_toto,J.League
1291,3,F東京,湘南,2022-03-26,味スタ,1,mini_toto,J.League
1291,4,仙台,町田,2022-03-26,ユアスタ,2,mini_toto,J.League
1291,5,甲府,横浜C,2022-03-26,JITス,2,mini_toto,Other
1291,6,名古屋,徳島,2022-03-26,豊田ス,1,mini_toto,J.League
1291,7,広島,清水,2022-03-26,Eスタ,2,mini_toto,J.League
1291,8,F東京,湘南,2022-03-26,味スタ,1,mini_toto,J.League
1291,9,仙台,町田,2022-03-26,ユアスタ,2,mini_toto,J.League
1291,10,甲府,横浜C,2022-03-26,JITス,2,mini_toto,Other
1291,11,長崎,金沢,2022-03-26,トラスタ,2,mini_toto,J.League
1291,12,新潟,群馬,2022-03-26,デンカS,1,mini_toto,J.League
1291,13,栃木,千葉,2022-03-26,カンセキ,1,mini_toto,J.League
1292,1,湘南,広島,2022-04-02,レモンS,2,mini_toto,J.League
