feature,importance
home_core_DF,0.029356879226155957
h2h_days_since_last_match,0.02659138415148571
home_core_FW,0.02633612779376963
home_team_momentum,0.025170013609790078
away_momentum_FW,0.02461648393091666
home_momentum_FW,0.02421812075573849
away_core_FW,0.02414930684246775
away_core_DF,0.024115471202393282
away_momentum_MF,0.023530416420084903
home_momentum_MF,0.022568968802392696
home_team_core_score,0.02206427195438834
away_core_MF,0.021595297417394525
home_core_MF,0.02123083077945747
away_team_momentum,0.0206467440064977
away_momentum_DF,0.019795807421682375
away_team_core_score,0.01882163172012741
home_momentum_DF,0.018407207785684512
momentum_FWRatio,0.017820251556943546
core_FWDiff,0.017219737527924935
team_momentumRatio,0.017077141953314
momentum_DFDiff,0.016600687230176384
momentum_FWDiff,0.016269034999130332
team_momentumDiff,0.016124201798494362
momentum_DFRatio,0.015791304473455513
core_DFDiff,0.015761688584107765
core_MFDiff,0.01571772940038675
momentum_MFDiff,0.015461989562600078
team_core_scoreDiff,0.015353634143693146
core_MFRatio,0.014687830459014497
team_core_scoreRatio,0.014472173487358402
core_FWRatio,0.01422751871257259
core_DFRatio,0.01417549622546733
team_stabilityRatio,0.01350727145544104
momentum_MFRatio,0.012988391868007203
team_stabilityDiff,0.012517970765759688
core_player_countRatio,0.012101680838129734
available_count_MFRatio,0.01148855191506771
h2h_weighted_goal_difference,0.01053896652918007
home_team_stability,0.01008555895938077
starter_count_MFRatio,0.009645628494505584
momentum_GKDiff,0.009616009512310765
available_count_FWRatio,0.008958221021562442
momentum_GKRatio,0.008935330408768255
h2h_average_away_goals,0.00857848374141079
core_GKDiff,0.008502729690791305
h2h_average_home_goals,0.008102379216267773
available_count_DFRatio,0.007970781510665255
away_team_stability,0.007534965719963711
core_GKRatio,0.007244641699777342
home_momentum_GK,0.007097605096800392
h2h_weighted_draw_rate,0.0070736532362520085
h2h_weighted_home_win_rate,0.007039205711181822
home_core_GK,0.006922911061790609
h2h_btts_rate,0.006575517646563281
h2h_weighted_away_win_rate,0.005923217420342486
h2h_over_2_5_rate,0.0056065970305462474
home_starter_count_MF,0.0056014113804398235
core_player_countDiff,0.005585350657836487
away_available_count_FW,0.00552322708058179
available_count_MFDiff,0.005454166047307444
away_available_count_MF,0.0054535663678232866
home_core_player_count,0.005273619368091954
h2h_same_venue_goal_difference,0.0052029961990078975
starter_count_FWRatio,0.005128125706489908
away_momentum_GK,0.004645126741111567
away_starter_count_MF,0.004478724918007528
away_core_player_count,0.004461721741413869
h2h_home_points_per_game,0.004431020473203291
away_core_GK,0.004123597297387291
starter_count_MFDiff,0.00404544159595833
home_available_count_DF,0.003778454926916392
home_available_count_MF,0.0036567185732105235
h2h_away_points_per_game,0.003590074630428235
available_count_DFDiff,0.003496923238270436
h2h_home_unbeaten_streak,0.003482500993129989
starter_count_DFRatio,0.003440992045918987
away_available_count_DF,0.003379661066377357
available_count_FWDiff,0.0032662312795499453
h2h_matches,0.003233949284002155
h2h_away_unbeaten_streak,0.0031496879308509284
starter_count_FWDiff,0.00314638813688116
h2h_average_goal_difference,0.003079461500729008
away_starter_count_FW,0.002999745346786282
away_starter_count_DF,0.0028186725086027766
home_starter_count_FW,0.002798176049591962
h2h_last3_goal_difference,0.0027426786025119398
home_available_count_FW,0.002616342592642949
h2h_last3_draw_rate,0.0025646448273218196
h2h_home_win_rate,0.002389051871043434
h2h_away_win_rate,0.002370742599105577
available_player_countDiff,0.0022994336993229884
starter_count_DFDiff,0.0022153300897225442
away_available_player_count,0.0019928632015532477
h2h_draw_rate,0.001806174185829679
h2h_last5_goal_difference,0.0017654689505794483
home_available_player_count,0.0014732968086870483
available_player_countRatio,0.0014334586849234403
home_starter_count_DF,0.0013191424985981742
h2h_last3_home_win_rate,0.0012194641329913588
h2h_same_venue_away_win_rate,0.0011869271002507532
h2h_same_venue_home_win_rate,0.001146268797301614
h2h_same_venue_draw_rate,0.0010071028048495795
h2h_last5_home_win_rate,0.0009566298265259719
h2h_last5_away_win_rate,0.0007433723319819828
h2h_last5_draw_rate,0.0006823194511781781
h2h_last3_away_win_rate,0.0006491617530256056
available_count_GKDiff,0.0005608833391211501
h2h_same_venue_matches,0.0005294837992828471
h2h_confidence,0.0004500652022010065
available_count_GKRatio,0.0002829792019784444
away_available_count_GK,0.0002593541329817295
home_available_count_GK,7.997194304748842e-05
