toto_round,match_date,home_raw,away_raw,home_team,away_team,home_class,away_class,match_class,competition_raw
1556,,大分,FC今治,大分,FC今治,J2,Other,Other,Cup/Other
1556,,高知,福島,高知,福島,Other,J3,Other,J.League
1556,,八戸,鳥取,八戸,鳥取,J3,J3,J3,J.League
1556,,相模原,宮崎,相模原,宮崎,J3,J3,J3,J.League
1555,,アビスパ福岡,2,福岡,2,J1,Other,Other,Cup/Other
1555,,岐阜,1,岐阜,1,J3,Other,Other,Cup/Other
1555,,鹿児島,2,鹿児島,2,Other,Other,Other,Cup/Other
1554,,FC東京,浦和レッズ,FC東京,浦和,J1,J1,J1,J.League
1554,,湘南ベルマーレ,セレッソ大阪,湘南,C大阪,J1,J1,J1,J.League
1554,,鹿島アントラーズ,柏レイソル,鹿島,柏,J1,J1,J1,J.League
1554,,アルビレックス新潟,サンフレッチェ広島,新潟,広島,J1,J1,J1,J.League
1554,,ファジアーノ岡山,ヴィッセル神戸,岡山,神戸,J1,J1,J1,J.League
1554,,東京ヴェルディ,町田,東京V,町田,J1,J1,J1,J.League
1554,,清水エスパルス,横浜FC,清水,横浜FC,J1,J1,J1,J.League
1554,,横浜F・マリノス,名古屋グランパス,横浜FM,名古屋,J1,J1,J1,J.League
1554,,ガンバ大阪,川崎フロンターレ,G大阪,川崎F,J1,J1,J1,J.League
1554,,讃岐,高知,讃岐,高知,J3,Other,Other,J.League
1554,,長野,松本,長野,松本,J3,J3,J3,J.League
1554,,福島,FC琉球,福島,FC琉球,J3,Other,Other,J.League
1554,,鳥取,沼津,鳥取,沼津,J3,J3,J3,J.League
1553,,セレッソ大阪,徳島ヴォルティス,C大阪,徳島,J1,J2,Mixed Domestic,J.League
1553,,湘南ベルマーレ,清水エスパルス,湘南,清水,J1,J1,J1,J.League
1553,,京都サンガF.C.,横浜FC,京都,横浜FC,J1,J1,J1,J.League
1553,,ヴィッセル神戸,ヴァンフォーレ甲府,神戸,甲府,J1,J2,Mixed Domestic,J.League
1553,,東京ヴェルディ,サガン鳥栖,東京V,鳥栖,J1,J1,J1,J.League
1553,,ガンバ大阪,モンテディオ山形,G大阪,山形,J1,J2,Mixed Domestic,J.League
1553,,鹿島アントラーズ,V・ファーレン長崎,鹿島,長崎,J1,J2,Mixed Domestic,J.League
1553,,サンフレッチェ広島,藤枝MYFC,広島,藤枝,J1,J2,Mixed Domestic,J.League
1553,,FC東京,大分,FC東京,大分,J1,J2,Mixed Domestic,Cup/Other
1553,,町田,富山,町田,富山,J1,J2,Mixed Domestic,J.League
1553,,川崎フロンターレ,相模原,川崎F,相模原,J1,J3,Mixed Domestic,J.League
1553,,アビスパ福岡,北九州,福岡,北九州,J1,J3,Mixed Domestic,J.League
1553,,名古屋グランパス,熊本,名古屋,熊本,J1,J2,Mixed Domestic,J.League
1552,,ブラウブリッツ秋田,熊本,秋田,熊本,J2,J2,J2,J.League
1552,,水戸ホーリーホック,富山,水戸,富山,J2,J2,J2,J.League
1552,,ヴァンフォーレ甲府,大宮,甲府,大宮,J2,J2,J2,J.League
1552,,山口,徳島ヴォルティス,山口,徳島,J2,J2,J2,J.League
1552,,ジュビロ磐田,北海道コンサドーレ札幌,磐田,札幌,J1,J1,J1,J.League
1552,,いわきFC,V・ファーレン長崎,いわき,長崎,J2,J2,J2,J.League
1552,,FC今治,愛媛FC,FC今治,愛媛,Other,J2,Other,J.League
1552,,モンテディオ山形,ジェフユナイテッド千葉,山形,千葉,J2,J2,J2,J.League
1552,,藤枝MYFC,ベガルタ仙台,藤枝,仙台,J2,J2,J2,J.League
1552,,サガン鳥栖,大分,鳥栖,大分,J1,J2,Mixed Domestic,Cup/Other
1552,,相模原,福島,相模原,福島,J3,J3,J3,J.League
1552,,讃岐,栃木SC,讃岐,栃木,J3,J2,Mixed Domestic,J.League
1552,,FC大阪,宮崎,FC大阪,宮崎,J3,J3,J3,J.League
1551,,町田,清水エスパルス,町田,清水,J1,J1,J1,J.League
1551,,ファジアーノ岡山,サンフレッチェ広島,岡山,広島,J1,J1,J1,J.League
1551,,セレッソ大阪,ガンバ大阪,C大阪,G大阪,J1,J1,J1,J.League
