round_id,toto_match_no,home_team,away_team,prediction,ai_top_pick,market_top_pick,best_value_pick,best_edge,best_value_ratio,value_score,roi_priority_score,models_agree,ai_market_agree
1631,11,ベガルタ仙台,横浜FC,A,A,H,A,0.28262144475166445,2.5410111491366654,0.5264074296710995,0.6003289153055561,True,False
1631,7,柏レイソル,ジェフユナイテッド千葉,H,H,H,A,0.1895518706415712,2.642563870377568,0.34251677371097644,0.3562676950104551,True,True
1631,10,北海道コンサドーレ札幌,ジュビロ磐田,A,A,H,A,0.19960356451842423,2.264113771490971,0.30674502087383143,0.31509827795740675,True,False
1631,1,アビスパ福岡,ヴィッセル神戸,A,A,A,H,0.17270118701977305,2.2926735555372235,0.2755814389586026,0.2992012496674203,True,True
1631,8,水戸ホーリーホック,川崎フロンターレ,A,A,A,H,0.1743467158831496,2.0849204473126917,0.25693824044319874,0.27714579116350446,True,True
1631,12,徳島ヴォルティス,FC今治,H,H,H,A,0.16546452613493848,1.8075379508781775,0.2069625833865048,0.20978027517226205,False,True
1631,3,京都サンガF.C.,V・ファーレン長崎,D,D,A,D,0.13085418810753402,1.587053333815765,0.14056880940544017,0.14112505722612922,False,False
1631,6,サンフレッチェ広島,名古屋グランパス,H,H,H,D,0.11437006272048456,1.5690052871665898,0.1258626890307471,0.13686461121252197,True,True
1631,4,ファジアーノ岡山,セレッソ大阪,A,A,A,A,0.10748732439667824,1.2419795686552864,0.10357284853610337,0.13376260243459115,True,True
1631,5,東京ヴェルディ,横浜F・マリノス,H,H,H,A,0.08999310379295189,1.3508503071849975,0.08656665954500145,0.09329156041187453,True,True
1631,2,鹿島アントラーズ,FC東京,H,H,H,A,0.053380323952716635,1.2634764262226883,0.049800617372706774,0.060236048551784584,True,True
1631,13,藤枝MYFC,いわきFC,H,H,H,D,0.05094890602442892,1.1804778817726849,0.041221844495422454,0.042768547205710994,True,True
1631,9,清水エスパルス,ガンバ大阪,A,A,A,H,0.04539704536539979,1.1818791881626594,0.037386056319856704,0.04045928139402303,True,True
