roundNo,snapshotDate,league,homeTeam,awayTeam,homeElo,awayElo,eloDiff,homeHomeElo,awayAwayElo,homeAwayDiff,homeFormPoints,awayFormPoints,formDiff,homeLast5Wins,awayLast5Wins,homeRank,awayRank,rankDiff,homePoints,awayPoints,pointsDiff,homeGoalsFor,awayGoalsFor,homeGoalsAgainst,awayGoalsAgainst,homeGoalDifference,awayGoalDifference,goalDifferenceDiff,homeWinRate,awayWinRate,homeHomeWinRate,awayAwayWinRate,homeAwayWinRateDiff,homeHomeGoalsPerMatch,awayAwayGoalsPerMatch,homeAwayGoalsPerMatchDiff,homeHomeGoalsAgainstPerMatch,awayAwayGoalsAgainstPerMatch,homeAwayGoalsAgainstPerMatchDiff,homeAttackRating,awayAttackRating,attackRatingDiff,homeDefenseRating,awayDefenseRating,defenseRatingDiff,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,absDefenseDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff,h2hHomeWins,h2hDraws,h2hAwayWins,month,seasonRound,combinedGoalsPerMatch,expectedGoalGap,attackDefenseRatio,result,match_card_id,homePlayerCoreScore,homePlayerMomentum,homeTeamStability,homeCorePlayerCount,homeAvailablePlayerCount,awayPlayerCoreScore,awayPlayerMomentum,awayTeamStability,awayCorePlayerCount,awayAvailablePlayerCount,playerCoreScoreDiff,playerMomentumDiff,teamStabilityDiff,corePlayerCountDiff,availablePlayerCountDiff
1632,2025-05-31,J.League,ベガルタ仙台,ヴァンフォーレ甲府,1509,1447,62,1506,1493,13,7,9,-2,2,3,23,37,14,23,11,12,11,5,9,11,2,-6,8,0.4,0.2142857142857142,0.4,0.3333333333333333,0.0666666666666667,0.7,0.5,0.1999999999999999,0.6,0.6666666666666666,-0.0666666666666666,0.5432098765432098,0.2645502645502645,0.2786596119929453,2.2500000000000004,1.7181818181818185,0.5318181818181822,62,14,12,0.2786596119929453,0.5318181818181822,25.362095558762224,3,6,-3,1,2,-1,0,1,-1,2,0,2,0,0,0,5,1632,1.2,0.1999999999999999,0.2035541269756825,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,富山,宮崎,1497,1535,-38,1485,1509,-24,9,10,-1,2,3,31,38,7,16,10,6,8,4,9,1,-1,3,-4,0.3076923076923077,0.75,0.125,0.5,-0.375,0.625,1.0,-0.375,0.875,0.5,0.375,0.4558404558404558,0.7407407407407407,-0.2849002849002848,1.95,5.4,-3.45,38,7,6,0.2849002849002848,3.45,15.796980056980056,7,7,0,2,2,0,5,4,1,0,0,0,0,0,0,5,1632,1.625,0.375,0.1627979478620966,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,2025-05-31,J.League,ブラウブリッツ秋田,北海道コンサドーレ札幌,1526,1501,25,1505,1489,16,7,9,-2,2,3,17,19,2,27,26,1,13,10,10,10,3,0,3,0.4117647058823529,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.5664488017429193,0.411522633744856,0.1549261679980633,2.295,2.43,-0.1350000000000002,25,2,1,0.1549261679980633,0.1350000000000002,9.307985233599611,6,6,0,2,2,0,2,0,2,0,1,-1,0,0,0,5,1632,1.3333333333333337,0.2222222222222222,0.206973701188922,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,2025-05-24,J.League,アビスパ福岡,ヴィッセル神戸,1477,1510,-33,1496,1509,-13,3,2,1,0,0,12,17,5,32,27,5,16,13,18,11,-2,2,-4,0.3076923076923077,0.3888888888888889,0.3846153846153846,0.3,0.0846153846153846,0.6153846153846154,0.8,-0.1846153846153846,0.6153846153846154,0.7,-0.0846153846153845,0.4558404558404558,0.5349794238683128,-0.0791389680278569,1.95,2.209090909090909,-0.2590909090909088,33,5,5,0.0791389680278569,0.2590909090909088,12.867645975423752,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1631,1.4153846153846157,0.1846153846153846,0.2382241886380099,H,32368,0.631854,0.541828,0.727273,10.0,20.0,0.565461,0.525435,0.909091,10.0,20.0,0.06639300000000004,0.01639299999999999,-0.18181800000000004,0.0,0.0
1631,2025-05-24,J.League,鹿島アントラーズ,FC東京,1634,1530,104,1560,1543,17,10,7,3,3,2,1,4,3,59,39,20,23,17,7,14,16,3,13,0.72,0.44,0.75,0.5384615384615384,0.2115384615384615,0.9166666666666666,0.8461538461538461,0.0705128205128204,0.25,0.4615384615384615,-0.2115384615384615,0.6814814814814815,0.5037037037037037,0.1777777777777778,4.821428571428571,2.4107142857142856,2.4107142857142856,104,3,20,0.1777777777777778,2.4107142857142856,37.66769841269841,9,4,5,3,1,2,4,2,2,0,0,0,1,0,0,5,1631,1.7628205128205128,0.0705128205128204,0.1638751917760405,A,31392,0.605824,0.543935,0.909091,12.0,20.0,0.600745,0.52506,0.363636,10.0,20.0,0.005079000000000056,0.018874999999999975,0.545455,2.0,0.0
1631,2025-05-24,J.League,京都サンガF.C.,V・ファーレン長崎,1473,1472,1,1483,1464,19,4,4,0,1,1,18,26,8,27,22,5,13,10,15,12,-2,-2,0,0.3181818181818182,0.3333333333333333,0.2307692307692307,0.2,0.0307692307692307,0.6153846153846154,0.4,0.2153846153846154,0.7692307692307693,0.8,-0.0307692307692307,0.4377104377104377,0.411522633744856,0.0261878039655817,1.98,2.0250000000000004,-0.0450000000000001,1,8,5,0.0261878039655817,0.0450000000000001,2.3642375607931165,3,4,-1,1,1,0,0,1,-1,2,0,2,0,0,0,5,1631,1.015384615384615,0.2153846153846154,0.2120379195164399,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,2025-05-24,J.League,ファジアーノ岡山,セレッソ大阪,1486,1539,-53,1505,1519,-14,10,10,0,3,3,15,5,-10,28,39,-11,14,17,19,14,-5,3,-8,0.2692307692307692,0.44,0.4545454545454545,0.5833333333333334,-0.1287878787878788,0.5454545454545454,0.5833333333333334,-0.0378787878787879,0.5454545454545454,0.4166666666666667,0.1287878787878787,0.3988603988603988,0.5037037037037037,-0.1048433048433048,1.847368421052632,2.4107142857142856,-0.5633458646616538,53,10,11,0.1048433048433048,0.5633458646616538,21.18363783390099,6,6,0,2,2,0,2,2,0,0,0,0,0,0,2,5,1631,1.128787878787879,0.0378787878787879,0.2119599286169161,A,32489,0.657326,0.570736,0.454545,11.0,20.0,0.557937,0.473258,0.636364,10.0,20.0,0.09938899999999995,0.09747800000000001,-0.18181900000000006,1.0,0.0
1631,2025-05-24,J.League,東京ヴェルディ,横浜F・マリノス,1519,1516,3,1548,1488,60,6,4,2,2,1,10,3,-7,35,43,-8,15,15,13,13,2,2,0,0.4347826086956521,0.5185185185185185,0.5833333333333334,0.4285714285714285,0.1547619047619048,0.9166666666666666,0.4285714285714285,0.4880952380952381,0.4166666666666667,0.5714285714285714,-0.1547619047619047,0.4830917874396135,0.411522633744856,0.0715691536947575,2.388461538461539,2.803846153846154,-0.4153846153846152,3,7,8,0.0715691536947575,0.4153846153846152,2.8973907538158743,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,1631,1.3452380952380951,0.4880952380952381,0.172292792515079,A,32391,0.491104,0.434872,0.818182,9.0,17.0,0.653458,0.576867,0.727273,13.0,19.0,-0.162354,-0.14199500000000004,0.09090900000000002,-4.0,-2.0
1631,2025-05-24,J.League,サンフレッチェ広島,名古屋グランパス,1550,1497,53,1527,1494,33,8,10,-2,2,3,2,9,7,44,36,8,18,16,11,18,7,-2,9,0.5416666666666666,0.3571428571428571,0.6,0.3076923076923077,0.2923076923076922,0.8,0.6153846153846154,0.1846153846153846,0.4,0.6923076923076923,-0.2923076923076922,0.5555555555555555,0.4232804232804232,0.1322751322751322,2.9454545454545458,2.1,0.8454545454545457,53,7,8,0.1322751322751322,0.8454545454545457,20.49554593554593,7,6,1,2,2,0,3,0,3,0,1,-1,0,0,1,5,1631,1.4153846153846157,0.1846153846153846,0.1939996822981123,H,32367,0.608514,0.554844,1.0,12.0,20.0,0.596104,0.514331,0.818182,11.0,20.0,0.012410000000000032,0.04051300000000002,0.18181800000000004,1.0,0.0
1631,2025-05-24,J.League,柏レイソル,ジェフユナイテッド千葉,1496,1473,23,1512,1470,42,6,3,3,2,1,6,22,16,39,24,15,15,10,15,13,0,-3,3,0.4444444444444444,0.35,0.5333333333333333,0.2,0.3333333333333333,0.6,0.4,0.1999999999999999,0.4666666666666667,0.8,-0.3333333333333333,0.411522633744856,0.3703703703703703,0.0411522633744856,2.43,2.076923076923077,0.353076923076923,23,16,15,0.0411522633744856,0.353076923076923,12.128845837290282,6,3,3,2,1,1,2,0,2,0,2,-2,0,0,1,5,1631,1.0,0.1999999999999999,0.1734832484259257,H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
