model,rows,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,home_recall,away_recall
RandomForest v2,318,0.3805031446540881,0.3248571420096667,0.3650647311255485,1.1293875964562434,0.18421052631578946,0.10606060606060606,0.1346153846153846,0.5289855072463768,0.35964912280701755
RandomForest v3,318,0.3805031446540881,0.3061708860759494,0.3561470026271794,1.1210706784922988,0.1,0.045454545454545456,0.0625,0.5507246376811594,0.3684210526315789
