model,rows,features,rf_weight,lgbm_weight,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,away_recall,home_recall
Ensemble,767,26,0.7,0.3,0.44589308996088656,0.3490695277929321,0.4028954416981824,1.0780559260880216,0.2692307692307692,0.04142011834319527,0.07179487179487179,0.44015444015444016,0.6519174041297935
RandomForest,767,26,,,0.43415906127770537,0.3050953403404811,0.3681302256812541,1.068586056947806,0.0,0.0,0.0,0.3281853281853282,0.7315634218289085
LightGBM,767,26,,,0.4041720990873533,0.35829012237176533,0.3946560917512284,1.1696703628489664,0.2,0.13609467455621302,0.1619718309859155,0.4671814671814672,0.4896755162241888
