model,version,label,accuracy,macro_f1,weighted_f1,log_loss,away_f1,draw_f1,home_f1,source,accuracy_vs_v5,macro_f1_vs_v5,weighted_f1_vs_v5,log_loss_vs_v5,away_f1_vs_v5,draw_f1_vs_v5,home_f1_vs_v5
RandomForest,v5,RandomForest v5,0.3680586406041759,0.3437387284437858,0.3589181203664427,1.097102115416953,0.3505509641873278,0.2323978335795175,0.4482673875645122,randomforest_v5_summary.csv,,,,,,,
RandomForest,v6,RandomForest v6,0.3811639271434918,0.3426383390469716,0.3627459932228399,1.09215222290001,0.3394625176803394,0.201815269620929,0.4866372298396467,randomforest_v6_summary.csv,0.013105286539315864,-0.001100389396814172,0.0038278728563971853,-0.004949892516942889,-0.01108844650698837,-0.030582563958588493,0.038369842275134514
LightGBM,v5,LightGBM v5,0.3496223900488672,0.3398657814711621,0.3498251015268893,1.155217968644753,0.3361053361053361,0.2713114754098361,0.4121805328983143,lightgbm_v5_summary.csv,,,,,,,
LightGBM,v6,LightGBM v6,0.3693913816081741,0.3563439460142167,0.3677801002261823,1.142693551253546,0.3468328141225337,0.2804617357845233,0.4417372881355932,lgbm_v6_summary.csv,0.019768991559306892,0.01647816454305462,0.017954998699293012,-0.01252441739120691,0.01072747801719759,0.009150260374687247,0.02955675523727891
