roundNo,snapshotDate,homeTeam,awayTeam,prediction,actual,correct,probH,probD,probA,confidence,margin,entropy,isDraw
1568,2024-09-14,大宮,V・ファーレン長崎,H,A,False,0.44979634249447287,0.17751995514685912,0.37268370235866866,0.44979634249447287,0.07711264013580421,1.0340914800579855,False
1568,2024-09-14,モンテディオ山形,富山,H,H,True,0.546949763528767,0.18001283994970096,0.2730373965215323,0.546949763528767,0.2739123670072347,0.993144006705835,False
1568,2024-09-14,山口,ジェフユナイテッド千葉,D,H,False,0.25134651346307546,0.4039424944218089,0.3447109921151162,0.4039424944218089,0.05923150230669272,1.080391093842,False
1568,2024-09-14,ブラウブリッツ秋田,愛媛FC,H,H,True,0.446074935816028,0.22212345779447443,0.331801606389498,0.446074935816028,0.11427332942652996,1.0603413046897354,False
1568,2024-09-14,ベガルタ仙台,水戸ホーリーホック,H,D,False,0.5329131018092317,0.1287268658862928,0.33836003230447576,0.5329131018092317,0.19455306950475593,0.9659740470095477,True
1568,2024-09-14,横浜F・マリノス,川崎フロンターレ,A,A,True,0.24666413291411707,0.21906108843942082,0.5342747786464621,0.5342747786464621,0.28761064573234507,1.012793458892947,False
1568,2024-09-14,アルビレックス新潟,清水エスパルス,H,A,False,0.5206372888024593,0.19589465151567698,0.28346805968186384,0.5206372888024593,0.23716922912059546,1.016519686416419,False
1568,2024-09-14,ガンバ大阪,浦和レッズ,H,H,True,0.5514383685622154,0.10822961070873928,0.3403320207290455,0.5514383685622154,0.2111063478331699,0.9356998719607501,False
1568,2024-09-14,ヴァンフォーレ甲府,サガン鳥栖,H,A,False,0.5232762261483352,0.1451650429246916,0.3315587309269736,0.5232762261483352,0.19171749522136167,0.9850737024924785,False
1568,2024-09-14,ファジアーノ岡山,名古屋グランパス,H,A,False,0.5707550083244392,0.17728306187820167,0.2519619297973592,0.5707550083244392,0.31879307852707994,0.9741015192261506,False
1568,2024-09-14,アビスパ福岡,セレッソ大阪,H,H,True,0.5521563582588012,0.1420196929638482,0.30582394877735075,0.5521563582588012,0.2463324094814504,0.9674550737482669,False
1568,2024-09-14,鹿島アントラーズ,湘南ベルマーレ,H,H,True,0.41307346766427727,0.2662432726692929,0.32068325966642985,0.41307346766427727,0.09239020799784742,1.0822557378716793,False
1570,2024-09-20,ヴァンフォーレ甲府,ブラウブリッツ秋田,H,D,False,0.5461601591465766,0.22639088782319888,0.22744895303022536,0.5461601591465766,0.3187112061163512,1.0034561584657586,True
1570,2024-09-20,愛媛FC,ジェフユナイテッド千葉,A,A,True,0.24811399877830748,0.134501504823681,0.6173844963980124,0.6173844963980124,0.36927049761970493,0.9134139922967999,False
1570,2024-09-20,いわきFC,水戸ホーリーホック,A,D,False,0.26867559589642714,0.17193033407782535,0.5593940700257476,0.5593940700257476,0.29071847412932045,0.9807715700872298,True
