model,accuracy_v5,accuracy_v6,accuracy_delta,accuracy_improved,macro_f1_v5,macro_f1_v6,macro_f1_delta,macro_f1_improved,weighted_f1_v5,weighted_f1_v6,weighted_f1_delta,weighted_f1_improved,log_loss_v5,log_loss_v6,log_loss_delta,log_loss_improved,away_f1_v5,away_f1_v6,away_f1_delta,away_f1_improved,draw_f1_v5,draw_f1_v6,draw_f1_delta,draw_f1_improved,home_f1_v5,home_f1_v6,home_f1_delta,home_f1_improved
RandomForest,0.3680586406041759,0.3811639271434918,0.013105286539315864,True,0.3437387284437858,0.3426383390469716,-0.001100389396814172,False,0.3589181203664427,0.3627459932228399,0.0038278728563971853,True,1.097102115416953,1.09215222290001,-0.004949892516942889,True,0.3505509641873278,0.3394625176803394,-0.01108844650698837,False,0.2323978335795175,0.201815269620929,-0.030582563958588493,False,0.4482673875645122,0.4866372298396467,0.038369842275134514,True
LightGBM,0.3496223900488672,0.3693913816081741,0.019768991559306892,True,0.3398657814711621,0.3563439460142167,0.01647816454305462,True,0.3498251015268893,0.3677801002261823,0.017954998699293012,True,1.155217968644753,1.142693551253546,-0.01252441739120691,True,0.3361053361053361,0.3468328141225337,0.01072747801719759,True,0.2713114754098361,0.2804617357845233,0.009150260374687247,True,0.4121805328983143,0.4417372881355932,0.02955675523727891,True
