match_card_id,match_date,home_team,away_team,season,competition,round,home_score,away_score,result,home_team_core_score,home_team_momentum,home_team_stability,home_core_player_count,home_available_player_count,away_team_core_score,away_team_momentum,away_team_stability,away_core_player_count,away_available_player_count,home_core_GK,home_momentum_GK,home_starter_count_GK,home_available_count_GK,home_core_DF,home_momentum_DF,home_starter_count_DF,home_available_count_DF,home_core_MF,home_momentum_MF,home_starter_count_MF,home_available_count_MF,home_core_FW,home_momentum_FW,home_starter_count_FW,home_available_count_FW,away_core_GK,away_momentum_GK,away_starter_count_GK,away_available_count_GK,away_core_DF,away_momentum_DF,away_starter_count_DF,away_available_count_DF,away_core_MF,away_momentum_MF,away_starter_count_MF,away_available_count_MF,away_core_FW,away_momentum_FW,away_starter_count_FW,away_available_count_FW,team_core_scoreDiff,team_core_scoreRatio,team_momentumDiff,team_momentumRatio,team_stabilityDiff,team_stabilityRatio,core_player_countDiff,core_player_countRatio,available_player_countDiff,available_player_countRatio,core_GKDiff,core_GKRatio,momentum_GKDiff,momentum_GKRatio,starter_count_GKDiff,starter_count_GKRatio,available_count_GKDiff,available_count_GKRatio,core_DFDiff,core_DFRatio,momentum_DFDiff,momentum_DFRatio,starter_count_DFDiff,starter_count_DFRatio,available_count_DFDiff,available_count_DFRatio,core_MFDiff,core_MFRatio,momentum_MFDiff,momentum_MFRatio,starter_count_MFDiff,starter_count_MFRatio,available_count_MFDiff,available_count_MFRatio,core_FWDiff,core_FWRatio,momentum_FWDiff,momentum_FWRatio,starter_count_FWDiff,starter_count_FWRatio,available_count_FWDiff,available_count_FWRatio,team_feature_matched,position_feature_matched,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_points_per_game,h2h_away_points_per_game,h2h_average_home_goals,h2h_average_away_goals,h2h_average_goal_difference,h2h_btts_rate,h2h_over_2_5_rate,h2h_last3_home_win_rate,h2h_last3_draw_rate,h2h_last3_away_win_rate,h2h_last3_goal_difference,h2h_last5_home_win_rate,h2h_last5_draw_rate,h2h_last5_away_win_rate,h2h_last5_goal_difference,h2h_same_venue_matches,h2h_same_venue_home_win_rate,h2h_same_venue_draw_rate,h2h_same_venue_away_win_rate,h2h_same_venue_goal_difference,h2h_weighted_home_win_rate,h2h_weighted_draw_rate,h2h_weighted_away_win_rate,h2h_weighted_goal_difference,h2h_days_since_last_match,h2h_home_unbeaten_streak,h2h_away_unbeaten_streak,h2h_confidence
24973,2021-01-04,柏,FC東京,2021,,,1,2,A,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,1,1.3333333333333333,0,,0.0,,0.0,,-1,0.6666666666666666,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24974,2021-02-26,川崎F,横浜FM,2021,,,2,0,H,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24975,2021-02-27,札幌,横浜FC,2021,,,5,1,H,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,6,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,-1,0.75,0,,0.0,,0.0,,2,1.5,0,,0.0,,0.0,,-1,0.5,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24976,2021-02-27,浦和,FC東京,2021,,,1,1,D,0.0,0.0,0.0,0,0,0.534167,0.510648,0.727273,9,12,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,5,0,0.0,0.0,1,0,0.5,0.5,1,1,0.8,0.8,4,4,0.45,0.4,3,2,0.394167,0.365278,3,2,-0.534167,0.0,-0.510648,0.0,-0.727273,0.0,-9,0.0,-12,0.0,-0.5,0.0,-0.5,0.0,0,1.0,-1,0.0,-0.8,0.0,-0.8,0.0,0,1.0,-4,0.0,-0.45,0.0,-0.4,0.0,2,1.6666666666666667,-2,0.0,-0.394167,0.0,-0.365278,0.0,-2,0.3333333333333333,-2,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24977,2021-02-27,広島,仙台,2021,,,1,1,D,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,5,0,0.0,0.0,1,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,-1,0.8,0,,0.0,,0.0,,1,2.0,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24978,2021-02-27,大分,徳島,2021,,,1,1,D,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24979,2021-02-27,鹿島,清水,2021,,,1,3,A,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,1,1.3333333333333333,0,,0.0,,0.0,,-1,0.6666666666666666,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24980,2021-02-27,湘南,鳥栖,2021,,,0,1,A,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,-1,0.75,0,,0.0,,0.0,,1,1.25,0,,0.0,,0.0,,0,1.0,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24981,2021-02-27,C大阪,柏,2021,,,2,0,H,0.0,0.0,0.0,0,0,0.467778,0.437037,0.636364,8,12,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,4,0,0.0,0.0,2,0,0.5,0.5,1,1,0.333333,0.333333,4,2,0.634,0.573333,3,3,0.45,0.4,3,2,-0.467778,0.0,-0.437037,0.0,-0.636364,0.0,-8,0.0,-12,0.0,-0.5,0.0,-0.5,0.0,0,1.0,-1,0.0,-0.333333,0.0,-0.333333,0.0,0,1.0,-2,0.0,-0.634,0.0,-0.573333,0.0,1,1.3333333333333333,-3,0.0,-0.45,0.0,-0.4,0.0,-1,0.6666666666666666,-2,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
24982,2021-02-27,神戸,G大阪,2021,,,1,0,H,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,5,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0,3,0,0.0,0.0,5,0,0.0,0.0,2,0,0.0,,0.0,,0.0,,0,,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,1,1.3333333333333333,0,,0.0,,0.0,,0,1.0,0,,0.0,,0.0,,-1,0.5,0,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650,0,0,0.0
