config_id,low_threshold,high_threshold,low_alpha,medium_alpha,high_alpha,rows,low_count,medium_count,high_count,average_alpha,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,draw_support,predicted_draws,accuracy_change,draw_recall_change,draw_f1_change,selection_score
134,0.35,0.5,0.05,0.1,0.3,767,198,349,220,0.14445893089960887,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.0892402322089516,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.3877373312929599
62,0.3,0.5,0.05,0.1,0.3,767,130,417,220,0.1488917861799218,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.0892438255634107,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.3877372489697015
50,0.3,0.5,0.0,0.1,0.3,767,130,417,220,0.14041720990873535,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.0899549927612837,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.38772096179871013
122,0.35,0.5,0.0,0.1,0.3,767,198,349,220,0.13155149934810953,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.0899848978900653,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.3877202771534665
138,0.35,0.5,0.05,0.15,0.3,767,198,349,220,0.16720990873533245,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.090719779296229,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.38770345900108005
66,0.3,0.5,0.05,0.15,0.3,767,130,417,220,0.17607561929595825,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.090760959808131,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.387702516912952
126,0.35,0.5,0.0,0.15,0.3,767,198,349,220,0.1543024771838331,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.0914644449773427,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.3876864289862787
54,0.3,0.5,0.0,0.15,0.3,767,130,417,220,0.16760104302477183,0.4367666232073012,0.37375106463844315,0.4154218864445822,1.0914721270060037,0.25,0.1242603550295858,0.16600790513833993,169,84,-0.00912646675358536,0.08284023668639053,0.09421303334346814,0.3876862533665281
142,0.35,0.5,0.05,0.2,0.3,767,198,349,220,0.1899608865710561,0.43546284224250326,0.3729009809602677,0.414439582079968,1.0924551654733876,0.24705882352941178,0.1242603550295858,0.16535433070866143,169,85,-0.010430247718383301,0.08284023668639053,0.09355945891378964,0.38667865821959874
70,0.3,0.5,0.05,0.2,0.3,767,130,417,220,0.20325945241199478,0.43546284224250326,0.3729009809602677,0.414439582079968,1.092565358864264,0.24705882352941178,0.1242603550295858,0.16535433070866143,169,85,-0.010430247718383301,0.08284023668639053,0.09355945891378964,0.38667614158388974
130,0.35,0.5,0.0,0.2,0.3,767,198,349,220,0.17705345501955672,0.43546284224250326,0.3729009809602677,0.414439582079968,1.0931998311545015,0.24705882352941178,0.1242603550295858,0.16535433070866143,169,85,-0.010430247718383301,0.08284023668639053,0.09355945891378964,0.3866616564358869
58,0.3,0.5,0.0,0.2,0.3,767,130,417,220,0.1947848761408083,0.43546284224250326,0.3729009809602677,0.414439582079968,1.093276526062137,0.24705882352941178,0.1242603550295858,0.16535433070866143,169,85,-0.010430247718383301,0.08284023668639053,0.09355945891378964,0.3866599060684133
135,0.35,0.5,0.05,0.1,0.35,767,198,349,220,0.15880052151238594,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0916167296426103,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.3863266955336695
63,0.3,0.5,0.05,0.1,0.35,767,130,417,220,0.16323337679269884,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0916203229970696,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.38632661339737623
51,0.3,0.5,0.0,0.1,0.35,767,130,417,220,0.15475880052151242,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0923314901949424,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.38631036321001905
123,0.35,0.5,0.0,0.1,0.35,767,198,349,220,0.14589308996088657,0.42633637548891784,0.37483019351531466,0.412335241635576,1.092361395323724,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.38630968011913913
139,0.35,0.5,0.05,0.15,0.35,767,198,349,220,0.18155149934810952,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0930962767298877,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.3862929001423658
67,0.3,0.5,0.05,0.15,0.35,767,130,417,220,0.19041720990873534,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0931374572417896,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.38629196019229234
127,0.35,0.5,0.0,0.15,0.35,767,198,349,220,0.16864406779661012,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0938409424110014,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.38627590877043294
55,0.3,0.5,0.0,0.15,0.35,767,130,417,220,0.18194263363754887,0.42633637548891784,0.37483019351531466,0.412335241635576,1.0938486244396624,0.23333333333333334,0.16568047337278108,0.19377162629757785,169,120,-0.019556714471968717,0.12426035502958581,0.12197675450270606,0.3862757335491102
133,0.35,0.5,0.05,0.1,0.25,767,198,349,220,0.13011734028683183,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0870662901049282,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.38617789000366354
61,0.3,0.5,0.05,0.1,0.25,767,130,417,220,0.13455019556714473,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0870698834593875,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861778075088159
49,0.3,0.5,0.0,0.1,0.25,767,130,417,220,0.1260756192959583,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0877810506572603,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861614863957214
121,0.35,0.5,0.0,0.1,0.25,767,198,349,220,0.11720990873533248,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.087810955786042,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861608003239457
137,0.35,0.5,0.05,0.15,0.25,767,198,349,220,0.1528683181225554,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0885458371922059,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861439471355465
65,0.3,0.5,0.05,0.15,0.25,767,130,417,220,0.1617340286831812,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0885870177041075,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861430030852009
125,0.35,0.5,0.0,0.15,0.25,767,198,349,220,0.13996088657105604,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0892905028733193,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861268816559458
53,0.3,0.5,0.0,0.15,0.25,767,130,417,220,0.15325945241199476,0.4406779661016949,0.3704799517147042,0.41444430627191226,1.0892981849019805,0.26153846153846155,0.10059171597633136,0.1452991452991453,169,65,-0.0052151238591916504,0.05917159763313609,0.07350427350427352,0.3861267056705351
110,0.35,0.45,0.05,0.1,0.3,767,198,163,406,0.19295958279009126,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0954341287361458,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.3855414114268447
38,0.3,0.45,0.05,0.1,0.3,767,130,231,406,0.19739243807040419,0.43415906127770537,0.37210872505775966,0.413590238106071,1.095437722090605,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.3855413295895455
114,0.35,0.45,0.05,0.15,0.3,767,198,163,406,0.20358539765319422,0.43415906127770537,0.37210872505775966,0.413590238106071,1.095580609042263,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.38553807562031345
42,0.3,0.45,0.05,0.15,0.3,767,130,231,406,0.21245110821382007,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0956217895541647,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.385537137897538
118,0.35,0.45,0.05,0.2,0.3,767,198,163,406,0.21421121251629727,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0958357014222693,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.38553226749630215
46,0.3,0.45,0.05,0.2,0.3,767,130,231,406,0.227509778357236,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0959458948131457,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.3855297589723864
26,0.3,0.45,0.0,0.1,0.3,767,130,231,406,0.18891786179921774,0.43415906127770537,0.37210872505775966,0.413590238106071,1.096148889288478,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.38552513854633813
98,0.35,0.45,0.0,0.1,0.3,767,198,163,406,0.18005215123859192,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0961787944172594,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.3855244579411953
102,0.35,0.45,0.0,0.15,0.3,767,198,163,406,0.1906779661016949,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0963252747233765,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.3855211245042449
30,0.3,0.45,0.0,0.15,0.3,767,130,231,406,0.20397653194263363,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0963329567520377,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.38552094969798106
106,0.35,0.45,0.0,0.2,0.3,767,198,163,406,0.2013037809647979,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0965803671033831,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.38551532050562337
34,0.3,0.45,0.0,0.2,0.3,767,130,231,406,0.21903520208604954,0.43415906127770537,0.37210872505775966,0.413590238106071,1.0966570620110188,0.2413793103448276,0.1242603550295858,0.1640625,169,87,-0.011734028683181186,0.08284023668639053,0.09226762820512821,0.3855135757780973
143,0.35,0.5,0.05,0.2,0.35,767,198,349,220,0.2043024771838331,0.42503259452411996,0.3739664199313955,0.4113380219860922,1.0948316629070465,0.23140495867768596,0.16568047337278108,0.19310344827586207,169,121,-0.020860495436766602,0.12426035502958581,0.12130857648099028,0.38526326083126
71,0.3,0.5,0.05,0.2,0.35,767,130,417,220,0.21760104302477185,0.42503259452411996,0.3739664199313955,0.4113380219860922,1.0949418562979227,0.23140495867768596,0.16568047337278108,0.19310344827586207,169,121,-0.020860495436766602,0.12426035502958581,0.12130857648099028,0.3852607499021945
131,0.35,0.5,0.0,0.2,0.35,767,198,349,220,0.19139504563233378,0.42503259452411996,0.3739664199313955,0.4113380219860922,1.0955763285881601,0.23140495867768596,0.16568047337278108,0.19310344827586207,169,121,-0.020860495436766602,0.12426035502958581,0.12130857648099028,0.38524629759442197
59,0.3,0.5,0.0,0.2,0.35,767,130,417,220,0.2091264667535854,0.42503259452411996,0.3739664199313955,0.4113380219860922,1.0956530234957957,0.23140495867768596,0.16568047337278108,0.19310344827586207,169,121,-0.020860495436766602,0.12426035502958581,0.12130857648099028,0.38524455119464834
141,0.35,0.5,0.05,0.2,0.25,767,198,349,220,0.175619295958279,0.439374185136897,0.36964532021425045,0.4134746710490207,1.0902812233693644,0.25757575757575757,0.10059171597633136,0.14468085106382977,169,66,-0.006518904823989535,0.05917159763313609,0.07288597926895798,0.38512744622948797
69,0.3,0.5,0.05,0.2,0.25,767,130,417,220,0.18891786179921777,0.439374185136897,0.36964532021425045,0.4134746710490207,1.0903914167602409,0.25757575757575757,0.10059171597633136,0.14468085106382977,169,66,-0.006518904823989535,0.05917159763313609,0.07288597926895798,0.38512492435647316
129,0.35,0.5,0.0,0.2,0.25,767,198,349,220,0.16271186440677965,0.439374185136897,0.36964532021425045,0.4134746710490207,1.091025889050478,0.25757575757575757,0.10059171597633136,0.14468085106382977,169,66,-0.006518904823989535,0.05917159763313609,0.07288597926895798,0.3851104090691723
57,0.3,0.5,0.0,0.2,0.25,767,130,417,220,0.1804432855280313,0.439374185136897,0.36964532021425045,0.4134746710490207,1.0911025839581139,0.25757575757575757,0.10059171597633136,0.14468085106382977,169,66,-0.006518904823989535,0.05917159763313609,0.07288597926895798,0.38510865506032266
90,0.35,0.4,0.05,0.15,0.3,767,198,81,488,0.21962190352020858,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0963970495968263,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38445628906946844
86,0.35,0.4,0.05,0.1,0.3,767,198,81,488,0.21434159061277702,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0964064963736195,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38445607412087013
14,0.3,0.4,0.05,0.1,0.3,767,130,149,488,0.2187744458930899,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0964100897280789,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.3844559923594697
94,0.35,0.4,0.05,0.2,0.3,767,198,81,488,0.22490221642764016,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.096436039264831,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38445540192493566
18,0.3,0.4,0.05,0.15,0.3,767,130,149,488,0.22848761408083434,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.096438230108728,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.3844553520769347
22,0.3,0.4,0.05,0.2,0.3,767,130,149,488,0.23820078226857885,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0965462326557074,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38445289483746403
2,0.3,0.4,0.0,0.1,0.3,767,130,149,488,0.21029986962190353,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0971212569259516,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38443981632985835
78,0.35,0.4,0.0,0.15,0.3,767,198,81,488,0.20671447196870923,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.09714171527794,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.3844393511516893
6,0.3,0.4,0.0,0.15,0.3,767,130,149,488,0.22001303780964795,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0971493973066009,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.3844391764815068
74,0.35,0.4,0.0,0.1,0.3,767,198,81,488,0.2014341590612777,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0971511620547332,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38443913635571403
82,0.35,0.4,0.0,0.2,0.3,767,198,81,488,0.21199478487614076,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0971807049459448,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.38443846463706405
10,0.3,0.4,0.0,0.2,0.3,767,130,149,488,0.22972620599739244,0.43285528031290743,0.3708568931679126,0.4123969922330113,1.0972573998535802,0.23863636363636365,0.1242603550295858,0.16342412451361868,169,88,-0.013037809647979126,0.08284023668639053,0.09162925271874689,0.3844367209082663
109,0.35,0.45,0.05,0.1,0.25,767,198,163,406,0.16649282920469363,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0915014697459935,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.38404637845796624
37,0.3,0.45,0.05,0.1,0.25,767,130,231,406,0.17092568448500656,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0915050631004526,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.3840462963126199
113,0.35,0.45,0.05,0.15,0.25,767,198,163,406,0.17711864406779665,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0916479500521106,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.3840430300954191
41,0.3,0.45,0.05,0.15,0.25,767,130,231,406,0.18598435462842244,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0916891305640124,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.38404208884320234
117,0.35,0.45,0.05,0.2,0.25,767,198,163,406,0.1877444589308996,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.091903042432117,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.3840372001116597
45,0.3,0.45,0.05,0.2,0.25,767,130,231,406,0.20104302477183836,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0920132358229933,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.384034682147362
89,0.35,0.4,0.05,0.15,0.25,767,198,81,488,0.18780964797913952,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0921371084536793,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.38403185192348704
85,0.35,0.4,0.05,0.1,0.25,767,198,81,488,0.18252933507170796,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0921465552304723,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.384031636098657
13,0.3,0.4,0.05,0.1,0.25,767,130,149,488,0.18696219035202086,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.0921501485849316,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.3840315540039596
93,0.35,0.4,0.05,0.2,0.25,767,198,81,488,0.1930899608865711,0.4380704041720991,0.3688806385669155,0.4126461035669475,1.092176098121684,0.25,0.10059171597633136,0.14345991561181434,169,68,-0.007822685788787476,0.05917159763313609,0.07166504381694255,0.3840309611625606
