window,rows,average_alpha,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,draw_support,predicted_draws
1,101,0.10594059405940599,0.38613861386138615,0.31292815798433776,0.35994144358256047,1.1294417881860885,0.2,0.05,0.08,20,5
2,88,0.14375000000000002,0.4659090909090909,0.4322041105598866,0.46646285677469235,1.0548204553036775,0.3333333333333333,0.3076923076923077,0.32,13,12
3,91,0.1532967032967033,0.37362637362637363,0.31557739557739556,0.33138861138861136,1.1030185313783498,0.16666666666666666,0.037037037037037035,0.06060606060606061,27,6
4,114,0.16666666666666669,0.49122807017543857,0.3815948204029957,0.4458235984175926,1.1186549024240908,0.14285714285714285,0.041666666666666664,0.06451612903225806,24,7
5,79,0.09999999999999996,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.062373285031192,0.0,0.0,0.0,17,0
6,102,0.11519607843137257,0.4117647058823529,0.35763888888888884,0.3819444444444444,1.0673214731330836,0.3,0.11538461538461539,0.16666666666666666,26,10
7,114,0.12192982456140353,0.47368421052631576,0.4051915163026274,0.46400426517385585,1.0587956940707348,0.1875,0.13043478260869565,0.15384615384615385,23,16
8,78,0.1275641025641026,0.44871794871794873,0.41629896337086847,0.4335513757307679,1.0959447397959323,0.4444444444444444,0.21052631578947367,0.2857142857142857,19,9
