window,model,train_round_start,train_round_end,test_round_start,test_round_end,train_rows,test_rows,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,away_recall,home_recall
1,RandomForest,1506,1548,1549,1558,416,101,0.37623762376237624,0.27820760799484207,0.33378018652929126,1.0995260483838294,0.0,0.0,0.0,0.5714285714285714,0.391304347826087
1,LightGBM,1506,1548,1549,1558,416,101,0.3564356435643564,0.3205574912891986,0.3502949598095698,1.2465635036601161,0.2,0.15,0.17142857142857143,0.4857142857142857,0.34782608695652173
1,Ensemble,1506,1548,1549,1558,416,101,0.38613861386138615,0.31204834536539466,0.3574769592249894,1.1167945533234218,0.3333333333333333,0.05,0.08695652173913043,0.5428571428571428,0.41304347826086957
2,RandomForest,1506,1558,1559,1568,517,88,0.4431818181818182,0.28459119496855345,0.39397512864494,1.0129207239287774,0.0,0.0,0.0,0.23333333333333334,0.7111111111111111
2,LightGBM,1506,1558,1559,1568,517,88,0.4090909090909091,0.3837386726954601,0.42491700064812243,1.1610456263230253,0.19230769230769232,0.38461538461538464,0.2564102564102564,0.4,0.4222222222222222
2,Ensemble,1506,1558,1559,1568,517,88,0.4659090909090909,0.39871574360738443,0.45935359789848945,1.0254112560892499,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.5333333333333333,0.5111111111111111
3,RandomForest,1506,1568,1570,1580,605,91,0.46153846153846156,0.3238930993218987,0.35685574895786304,1.1094160718558375,0.0,0.0,0.0,0.2962962962962963,0.918918918918919
3,LightGBM,1506,1568,1570,1580,605,91,0.4065934065934066,0.35529553593589336,0.3679650633378959,1.1707032035157143,0.25,0.07407407407407407,0.11428571428571428,0.7037037037037037,0.43243243243243246
3,Ensemble,1506,1568,1570,1580,605,91,0.4065934065934066,0.3351005719426772,0.3546302357754063,1.1080726042668614,1.0,0.037037037037037035,0.07142857142857142,0.5925925925925926,0.5405405405405406
4,RandomForest,1506,1580,1582,1593,696,114,0.4473684210526316,0.29444444444444445,0.3635964912280702,1.0760575968071673,0.0,0.0,0.0,0.23076923076923078,0.8235294117647058
4,LightGBM,1506,1580,1582,1593,696,114,0.38596491228070173,0.31384562132225685,0.3569000382576379,1.232428976931344,0.08333333333333333,0.041666666666666664,0.05555555555555555,0.6666666666666666,0.3333333333333333
4,Ensemble,1506,1580,1582,1593,696,114,0.5175438596491229,0.36764705882352944,0.44388544891640863,1.0984448472900745,0.0,0.0,0.0,0.41025641025641024,0.8431372549019608
5,RandomForest,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0549329015332598,0.0,0.0,0.0,0.0,1.0
5,LightGBM,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0954049732820512,0.0,0.0,0.0,0.0,1.0
5,Ensemble,1506,1593,1595,1604,810,79,0.46835443037974683,0.21264367816091956,0.2987778262767351,1.0576702459857414,0.0,0.0,0.0,0.0,1.0
6,RandomForest,1506,1604,1605,1614,889,102,0.39215686274509803,0.29151539599300796,0.32774126189402747,1.0730569298949284,0.0,0.0,0.0,0.3611111111111111,0.675
6,LightGBM,1506,1604,1605,1614,889,102,0.43137254901960786,0.3990107523646929,0.41776062425150556,1.124312844289845,0.3333333333333333,0.19230769230769232,0.24390243902439024,0.4444444444444444,0.575
6,Ensemble,1506,1604,1605,1614,889,102,0.4019607843137255,0.3029398462234283,0.34001117407614334,1.0694413177240583,0.0,0.0,0.0,0.3888888888888889,0.675
7,RandomForest,1506,1614,1615,1625,991,114,0.49122807017543857,0.35456973487069243,0.43797078194803013,1.0359384597790169,0.0,0.0,0.0,0.5135135135135135,0.6851851851851852
7,LightGBM,1506,1614,1615,1625,991,114,0.40350877192982454,0.36382341937897494,0.4090958316104515,1.145912589875824,0.16,0.17391304347826086,0.16666666666666666,0.4594594594594595,0.46296296296296297
7,Ensemble,1506,1614,1615,1625,991,114,0.47368421052631576,0.3758720930232558,0.4477789677682579,1.0525500702005903,0.1111111111111111,0.043478260869565216,0.0625,0.5405405405405406,0.6111111111111112
8,RandomForest,1506,1625,1626,1632,1105,78,0.38461538461538464,0.28188224596499206,0.3187612569290223,1.0884670772609173,0.0,0.0,0.0,0.3,0.7241379310344828
8,LightGBM,1506,1625,1626,1632,1105,78,0.38461538461538464,0.35319865319865323,0.3763403263403263,1.1561590535418689,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.4666666666666667,0.4482758620689655
8,Ensemble,1506,1625,1626,1632,1105,78,0.4358974358974359,0.3765512881302355,0.40533464638727795,1.0916597880134018,0.3333333333333333,0.10526315789473684,0.16,0.43333333333333335,0.6551724137931034
