windowNo,roundNo,snapshotDate,league,homeTeam,awayTeam,prediction,actual,correct,confidence,probHome,probDraw,probAway,homeAttackRating,defenseRatingDiff,awayAttackRating,homeAwayDiff,homeRank,awayAwayGoalsAgainstPerMatch,rankDiff,homeHomeElo,homeHomeGoalsPerMatch,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff
17,1570,2024-09-20,J.League,ベガルタ仙台,モンテディオ山形,A,H,False,0.4637422001004619,0.28069621530982347,0.255561584589715,0.4637422001004619,0.5698005698005698,0.222527472527473,0.4377104377104377,-23,27,0.375,-8,1508,0.7142857142857143,29,8,9,0.1320901320901321,12.22092352092352,5,6,-1,1,2,-1,3,2,1,0,0,0
18,1570,2024-09-20,J.League,横浜F・マリノス,アビスパ福岡,H,H,True,0.48619373739614374,0.48619373739614374,0.12997732883153026,0.38382893377232646,0.3703703703703703,0.2008928571428569,0.4301075268817204,27,17,0.625,-5,1514,0.6666666666666666,1,5,5,0.05973715651135,1.6521260027308415,3,6,-3,1,2,-1,0,1,-1,1,0,1
19,1570,2024-09-20,J.League,東京ヴェルディ,ファジアーノ岡山,H,H,True,0.42033338515189445,0.42033338515189445,0.34542437569154827,0.2342422391565574,0.3823178016726403,0.2131578947368422,0.3703703703703703,38,10,0.75,8,1511,0.5333333333333333,18,8,8,0.0119474313022699,8.345021065207822,0,3,-3,0,1,-1,0,0,0,3,2,1
20,1570,2024-09-20,J.League,浦和レッズ,鹿島アントラーズ,A,A,True,0.39876305258359496,0.3200302927313119,0.2812066546850929,0.39876305258359496,0.474074074074074,-0.8999999999999999,0.5611672278338945,31,8,0.4375,-7,1555,0.8181818181818182,64,7,25,0.0870931537598204,24.347418630751964,4,7,-3,1,2,-1,0,5,-5,1,0,1
21,1570,2024-09-20,J.League,川崎フロンターレ,FC東京,A,A,True,0.38528054193182454,0.2486657523781032,0.3660537056900726,0.38528054193182454,0.582010582010582,0.6841628959276012,0.3703703703703703,52,4,0.7142857142857143,10,1522,0.7692307692307693,94,10,16,0.2116402116402116,35.579160621513566,7,4,3,2,1,1,5,1,4,0,0,0
22,1570,2024-09-20,J.League,セレッソ大阪,柏レイソル,A,D,False,0.3851413674344374,0.3063675914662739,0.3084910410992892,0.3851413674344374,0.4389574759945129,-1.0355113636363638,0.5486968449931412,-20,11,0.3076923076923077,-6,1525,0.7692307692307693,59,6,14,0.1097393689986282,22.379050146527,2,3,-1,0,1,-1,0,0,0,1,1,0
23,1570,2024-09-20,J.League,横浜FC,アルビレックス新潟,H,A,False,0.4593705097671602,0.4593705097671602,0.3299283108655646,0.2107011793672755,0.3584229390681003,0.2282142857142859,0.3575989782886334,18,13,0.6923076923076923,7,1495,0.5294117647058824,34,7,7,0.0008239607794668,13.695807649298748,3,0,3,1,0,1,0,0,0,1,5,-4
24,1570,2024-09-20,J.League,名古屋グランパス,湘南ベルマーレ,H,H,True,0.37800698936873944,0.37800698936873944,0.2895673784972075,0.33242563213405335,0.3950617283950617,0.2054347826086959,0.3345280764635603,64,16,0.7647058823529411,5,1510,0.6428571428571429,55,5,6,0.0605336519315014,20.55319368690804,3,0,3,1,0,1,1,0,1,0,4,-4
25,1570,2024-09-20,J.League,京都サンガF.C.,清水エスパルス,D,A,False,0.43502752722404675,0.30795355302108995,0.43502752722404675,0.2570189197548633,0.4853128991060025,0.9865384615384613,0.3950617283950617,60,6,0.7647058823529411,9,1517,0.6428571428571429,97,9,15,0.0902511707109408,36.41535792644987,9,4,5,3,1,2,5,2,3,0,0,0
26,1571,2024-09-23,J.League,柏レイソル,サンフレッチェ広島,H,D,False,0.424904052349148,0.424904052349148,0.15149076273408732,0.4236051849167652,0.5555555555555555,-0.1124999999999998,0.5363984674329502,-15,4,0.4166666666666667,-2,1522,0.7142857142857143,18,2,2,0.0191570881226053,6.82633141762452,4,7,-3,1,2,-1,1,5,-4,0,0,0
27,1571,2024-09-23,J.League,ガンバ大阪,横浜F・マリノス,H,H,True,0.37485990621300835,0.37485990621300835,0.31303779213116967,0.3121023016558224,0.4778972520908004,0.1836397058823529,0.3840877914951988,56,7,0.7142857142857143,10,1524,0.6428571428571429,30,10,12,0.0938094605956015,13.05548983329559,9,6,3,3,2,1,3,1,2,0,0,0
28,1571,2024-09-23,J.League,FC東京,アビスパ福岡,H,A,False,0.4854350931158671,0.4854350931158671,0.187575598103098,0.32698930878103555,0.3831417624521073,0.3393048128342246,0.4166666666666666,28,12,0.6470588235294118,3,1507,0.5714285714285714,22,3,1,0.0335249042145593,8.524565943409756,6,3,3,2,1,1,2,0,2,0,1,-1
29,1571,2024-09-23,J.League,アルビレックス新潟,名古屋グランパス,H,H,True,0.4904054318250986,0.4904054318250986,0.27641406262982177,0.2331805055450796,0.3703703703703703,-0.1639285714285714,0.4062126642771803,5,18,0.8125,-4,1465,0.5,35,4,6,0.0358422939068099,13.289954173067075,3,6,-3,1,2,-1,1,2,-1,0,0,0
30,1571,2024-09-23,J.League,京都サンガF.C.,町田,A,D,False,0.43399785348634273,0.4083600441612895,0.15764210235236817,0.43399785348634273,0.4691358024691358,0.0,0.5432098765432098,-33,6,0.4705882352941176,-3,1507,0.6,15,3,3,0.074074074074074,6.014814814814815,6,4,2,2,1,1,0,0,0,1,1,0
31,1572,2024-09-28,J.League,FC今治,サガン鳥栖,H,D,False,0.42207004065709025,0.42207004065709025,0.24234452506711113,0.33558543427579884,0.5698005698005698,0.2249999999999996,0.4761904761904762,-13,26,0.5,1,1493,0.5714285714285714,13,1,1,0.0936100936100935,4.863722018722019,9,6,3,3,2,1,3,1,2,0,0,0
32,1572,2024-09-28,J.League,ブラウブリッツ秋田,V・ファーレン長崎,A,D,False,0.4213595851575655,0.2654712725519203,0.3131691422905143,0.4213595851575655,0.3898635477582846,-0.3219230769230767,0.5664488017429193,-46,29,0.5,-6,1478,0.4166666666666667,57,6,5,0.1765852539846347,21.54970166618154,5,3,2,1,1,0,3,1,2,0,0,0
33,1572,2024-09-28,J.League,富山,徳島ヴォルティス,A,A,True,0.5611202481598314,0.20895045083884156,0.22992930100132758,0.5611202481598314,0.3292181069958847,-0.5307692307692309,0.5092592592592592,-25,33,0.5714285714285714,-8,1483,0.4285714285714285,60,8,7,0.1800411522633744,23.14216207660652,0,4,-4,0,1,-1,0,0,0,4,1,3
34,1572,2024-09-28,J.League,川崎フロンターレ,柏レイソル,H,D,False,0.4601274749375171,0.4601274749375171,0.18404226796723183,0.3558302570952519,0.5619412515964239,-0.2151098901098898,0.5619412515964239,-32,5,0.3571428571428571,-1,1512,0.7142857142857143,1,1,2,0.0,0.6430219780219779,4,2,2,1,0,1,0,2,-2,1,0,1
35,1572,2024-09-28,J.League,FC東京,横浜F・マリノス,H,A,False,0.5303311657552232,0.5303311657552232,0.25158772237858584,0.21808111186619142,0.3703703703703703,0.026470588235294,0.3703703703703703,36,14,0.7333333333333333,3,1497,0.5333333333333333,5,3,3,0.0,2.505294117647059,6,3,3,2,1,1,0,0,0,1,1,0
