roundNo,homeTeam,awayTeam,model,prediction,actual,probH,probD,probA,confidence,margin,entropy,difficulty,difficultyClass,difficultyStars,ticketType,ticket,coverage,difficultyMultiplier,beamMatchScore,top1,top1Prob,top2,top2Prob,top3,top3Prob,drawSpecialistProb,dynamicAlpha
1632,清水エスパルス,横浜F・マリノス,dynamic,H,D,0.4444018805075789,0.2955878345226189,0.2600102849698023,0.4444018805075789,0.14881404598496,0.9747965482029732,0.8130932639813718,Very Hard,★★★★★,Single,H,0.4444018805075789,1.0,0.4444018805075789,H,0.4444018805075789,D,0.2955878345226189,A,0.2600102849698023,0.4368006095572698,0.1
1632,ベガルタ仙台,ヴァンフォーレ甲府,dynamic,A,H,0.2972212729632816,0.3263751292282243,0.376403597808494,0.376403597808494,0.0500284685802696,0.9956546031729502,0.861497157692956,Very Hard,★★★★★,Double,AD,0.7027787270367183,1.1292245736539435,0.7935950084110993,A,0.376403597808494,D,0.3263751292282243,H,0.2972212729632816,0.4791957222129367,0.1
1632,ガンバ大阪,東京ヴェルディ,dynamic,H,D,0.3517754538052244,0.346176721843682,0.3020478243510937,0.3517754538052244,0.0055987319615424,0.9979412989272314,0.8794223205868146,Very Hard,★★★★★,Triple,HDA,1.0,1.2638266961760443,1.2638266961760443,H,0.3517754538052244,D,0.346176721843682,A,0.3020478243510937,0.5192670417759753,0.25
1632,富山,宮崎,dynamic,A,H,0.2252475669948874,0.372608851369455,0.4021435816356575,0.4021435816356575,0.0295347302662025,0.9738869950855548,0.8564991628678236,Very Hard,★★★★★,Double,AD,0.7747524330051125,1.1284748744301736,0.8742886545499159,A,0.4021435816356575,D,0.372608851369455,H,0.2252475669948874,0.5960010407724051,0.25
1632,ブラウブリッツ秋田,北海道コンサドーレ札幌,dynamic,A,D,0.3464444062336689,0.2526539105232583,0.4009016832430728,0.4009016832430728,0.0544572770094038,0.984211652916402,0.843621645771715,Very Hard,★★★★★,Double,AH,0.7473460894767416,1.1265432468657572,0.8419176901715553,A,0.4009016832430728,H,0.3464444062336689,D,0.2526539105232583,0.3831318947235956,0.1
1632,ファジアーノ岡山,浦和レッズ,dynamic,H,D,0.4636439405489799,0.1915879484005936,0.3447681110504265,0.4636439405489799,0.1188758294985533,0.9467342043973714,0.7932603485817598,Hard,★★★★,Single,H,0.4636439405489799,1.0,0.4636439405489799,H,0.4636439405489799,A,0.3447681110504265,D,0.1915879484005936,0.3515362668281001,0.1
1632,ヴィッセル神戸,鹿島アントラーズ,dynamic,A,H,0.3171591254490483,0.2408370681882314,0.4420038063627202,0.4420038063627202,0.1248446809136719,0.9720830343226032,0.8126134827972986,Very Hard,★★★★★,Single,A,0.4420038063627202,1.0,0.4420038063627202,A,0.4420038063627202,H,0.3171591254490483,D,0.2408370681882314,0.4014906104558128,0.1
1632,アビスパ福岡,ジェフユナイテッド千葉,dynamic,H,D,0.5456654251831264,0.157073804960785,0.2972607698560887,0.5456654251831263,0.2484046553270377,0.8937700999922604,0.7186414528829802,Hard,★★★★,Single,H,0.5456654251831264,1.0,0.5456654251831264,H,0.5456654251831264,A,0.2972607698560887,D,0.157073804960785,0.3214085798269113,0.05
1632,V・ファーレン長崎,水戸ホーリーホック,dynamic,H,H,0.4801332938125165,0.1729372445796519,0.3469294616078315,0.4801332938125165,0.133203832204685,0.931189146134819,0.7775673454023259,Hard,★★★★,Single,H,0.4801332938125165,1.0,0.4801332938125165,H,0.4801332938125165,A,0.3469294616078315,D,0.1729372445796519,0.2555083196521244,0.05
1632,セレッソ大阪,FC東京,dynamic,D,D,0.3397265013220796,0.4438447037362101,0.2164287949417102,0.4438447037362101,0.1041182024141305,0.9635273072361268,0.8335418678277203,Very Hard,★★★★★,Single,D,0.4438447037362101,1.0,0.4438447037362101,D,0.4438447037362101,H,0.3397265013220796,A,0.2164287949417102,0.6102081139805684,0.25
1632,サンフレッチェ広島,川崎フロンターレ,dynamic,A,A,0.365636741081421,0.2047492706575666,0.4296139882610123,0.4296139882610123,0.0639772471795913,0.9608173953795004,0.8204472147214572,Very Hard,★★★★★,Double,AH,0.7952507293424333,1.1230670822082185,0.8931199162265643,A,0.4296139882610123,H,0.365636741081421,D,0.2047492706575666,0.4074435765996564,0.1
1632,京都サンガF.C.,柏レイソル,dynamic,H,A,0.5481728625843538,0.2773843302781423,0.1744428071375039,0.5481728625843538,0.2707885323062115,0.9010012341698896,0.728315987648553,Hard,★★★★,Single,H,0.5481728625843538,1.0,0.5481728625843538,H,0.5481728625843538,D,0.2773843302781423,A,0.1744428071375039,0.5288724555471334,0.25
1632,名古屋グランパス,町田,dynamic,A,H,0.2846840467883454,0.2535603099587172,0.4617556432529373,0.4617556432529373,0.1770715964645918,0.9670392994556672,0.7953444351196167,Hard,★★★★,Single,A,0.4617556432529373,1.0,0.4617556432529373,A,0.4617556432529373,H,0.2846840467883454,D,0.2535603099587172,0.4533290752596509,0.1
