homeTeam,awayTeam,prediction,probH,probD,probA,confidence,margin,ticketType,ticket,top1,top1Prob,top2,top2Prob,top3,top3Prob
FC東京,セレッソ大阪,H,0.4350591764949069,0.3377609552430703,0.2271798682620229,0.4350591764949069,0.0972982212518366,Double,HD,H,0.4350591764949069,D,0.3377609552430703,A,0.2271798682620229
浦和レッズ,ファジアーノ岡山,H,0.4897014506581011,0.1946792518702531,0.3156192974716464,0.4897014506581011,0.1740821531864546,Double,HA,H,0.4897014506581011,A,0.3156192974716464,D,0.1946792518702531
柏レイソル,京都サンガF.C.,H,0.4365794507665151,0.2085766158033066,0.3548439334301788,0.4365794507665151,0.0817355173363363,Double,HA,H,0.4365794507665151,A,0.3548439334301788,D,0.2085766158033066
鹿島アントラーズ,ヴィッセル神戸,A,0.3725609476621838,0.2232578635303717,0.4041811888074444,0.4041811888074444,0.0316202411452606,Double,AH,A,0.4041811888074444,H,0.3725609476621838,D,0.2232578635303717
川崎フロンターレ,サンフレッチェ広島,H,0.385119484589451,0.2525595584296901,0.3623209569808587,0.385119484589451,0.0227985276085923,Triple,HDA,H,0.385119484589451,A,0.3623209569808587,D,0.2525595584296901
