model,accuracy,macro_f1,log_loss,brier_score,draw_precision,draw_recall,predicted_draws,average_confidence
Ensemble Raw,0.4219219219219219,0.3171990141548206,1.0817106228070004,0.21755259245191216,0.1111111111111111,0.006711409395973154,9,0.4574804833583085
Ensemble Temperature Calibrated,0.4219219219219219,0.3171990141548206,1.0828691839626416,0.2180004357136708,0.1111111111111111,0.006711409395973154,9,0.4283622711429999
