window,fit_round_start,fit_round_end,calibration_round_start,calibration_round_end,test_round_start,test_round_end,fit_rows,calibration_rows,test_rows,temperature,calibration_log_loss,raw_accuracy,calibrated_accuracy,raw_log_loss,calibrated_log_loss,raw_brier,calibrated_brier
1,1506,1548,1549,1558,1559,1568,416,101,88,2.450000000000002,1.08016720599975,0.4431818181818182,0.4431818181818182,1.0451230054697356,1.0539388174643993,0.21126519284085207,0.21234935727528578
2,1506,1558,1559,1568,1570,1580,517,88,91,1.1000000000000005,1.0249600504139538,0.38461538461538464,0.38461538461538464,1.1446866952985841,1.1333555058106788,0.22773897180726013,0.22616527153182855
3,1506,1568,1570,1580,1582,1593,605,91,114,2.3000000000000016,1.0815916495892908,0.40350877192982454,0.40350877192982454,1.0984739435292576,1.0819127660037031,0.22030334169875668,0.21832469849143676
4,1506,1580,1582,1593,1595,1604,696,114,79,2.0500000000000016,1.0833929687408623,0.46835443037974683,0.46835443037974683,1.0637347781061988,1.0766635317565287,0.2148191907077912,0.21747461336566332
5,1506,1593,1595,1604,1605,1614,810,79,102,0.7000000000000002,1.0542342549998474,0.4117647058823529,0.4117647058823529,1.073850129117121,1.0998253757282863,0.21609020240640123,0.22107068812451644
6,1506,1604,1605,1614,1615,1625,889,102,114,1.4000000000000008,1.0647025413285753,0.45614035087719296,0.45614035087719296,1.0626734049726767,1.0588079873011065,0.2145811766796691,0.21379250463135124
7,1506,1614,1615,1625,1626,1632,991,114,78,1.1500000000000006,1.0514779545932214,0.38461538461538464,0.38461538461538464,1.081325675210227,1.0772837992779645,0.21776527387190892,0.21704411839868332
