step,feature_count_before,removed_feature,accuracy_before,accuracy_after,delta,remaining_features,is_best
1,28,homeAwayGoalsPerMatchDiff,0.42385786802030456,0.4263959390862944,0.0025380710659898553,27,True
2,27,absDefenseDiff,0.4263959390862944,0.43147208121827413,0.005076142131979711,26,True
