family,features,random_forest_importance,lightgbm_importance,consensus_importance,average_rank
Core player strength,24,0.40530746759662045,0.42274531072624305,0.4133278251020389,26.5
Momentum,20,0.3709741700203476,0.38789204582287473,0.37889650063838093,22.5
Availability,20,0.10477161560575657,0.08611567473641231,0.0949320662469274,63.05
Starter availability,12,0.06887710514541084,0.055730401025391604,0.06202660436906392,61.75
Team stability,4,0.050069641631864475,0.04751656768907837,0.048759187017726774,38.0
