position,features,random_forest_importance,lightgbm_importance,consensus_importance
Team-level,20,0.27023847268095536,0.26169002510049005,0.26549671408847353
MF,16,0.2307331698104163,0.23112506663998303,0.23053559053733882
FW,16,0.21969659380767548,0.22588294281654403,0.22221909787617333
DF,16,0.21045778134538473,0.21154744332065256,0.21059037711597423
GK,12,0.06887398235556805,0.06975452212233035,0.0691004037561781
