side,features,random_forest_importance,lightgbm_importance,consensus_importance
Ratio,20,0.2759374313451855,0.2445504553664516,0.2598090080671275
Home,20,0.24076574363356507,0.27193898511941017,0.25562936382412743
Away,20,0.23763041906078894,0.2642427481666755,0.25045788192030993
Difference,20,0.24566640596046047,0.21926781134746282,0.23204592956257314
