feature,random_forest_importance,random_forest_rank,lightgbm_importance,lightgbm_rank,mean_importance,geometric_mean_importance,mean_rank,rank_gap,relative_disagreement,consensus_score,family,side,position,present_in_random_forest,present_in_lightgbm,consensus_rank,recommendation
momentum_FWRatio,0.020569531928185673,18,0.020988337396966178,17,0.020778934662575924,0.02077787949253795,17.5,1,0.019954199366027093,0.02077845983605884,Momentum,Ratio,FW,True,True,17,High consensus importance; retain in the core feature set.
core_MFDiff,0.01991152048687397,27,0.020156091630967873,18,0.02003380605892092,0.020033432842259606,22.5,9,0.012133857524151295,0.02003363811142333,Core player strength,Difference,MF,True,True,18,High consensus importance; retain in the core feature set.
core_FWDiff,0.020116536226092472,25,0.019939671547762074,19,0.020028103886927273,0.020027908653350232,22.0,6,0.00879200456493064,0.020028016031817607,Core player strength,Difference,FW,True,True,19,High consensus importance; retain in the core feature set.
team_momentumRatio,0.020588467152872974,17,0.01925689170182027,20,0.019922679427346622,0.019911551478208795,18.5,3,0.06467579354818029,0.019917671850234603,Momentum,Ratio,Team-level,True,True,20,High consensus importance; retain in the core feature set.
core_DFDiff,0.020114166454309072,26,0.01896389044139207,21,0.01953902844785057,0.019530561921241304,23.5,5,0.05718735675823039,0.0195352185108764,Core player strength,Difference,DF,True,True,21,High consensus importance; retain in the core feature set.
team_core_scoreRatio,0.020363842984163272,21,0.018415590313251667,23,0.01938971664870747,0.019365231462591274,22.0,2,0.09567215149059728,0.019378698314955187,Core player strength,Ratio,Team-level,True,True,22,High consensus importance; retain in the core feature set.
momentum_DFDiff,0.020139561361689873,24,0.01855480431147217,22,0.01934718283658102,0.0193309497952129,23.0,2,0.07868875700700614,0.019339877967965366,Momentum,Difference,DF,True,True,23,High consensus importance; retain in the core feature set.
momentum_FWDiff,0.020517242969044072,19,0.018096482500627165,26,0.019306862734835617,0.01926888497942789,22.5,7,0.11798663553720608,0.01928977274490214,Momentum,Difference,FW,True,True,24,High consensus importance; retain in the core feature set.
team_core_scoreDiff,0.020386224641817073,20,0.018217109913149968,25,0.01930166727748352,0.019271172642424953,22.5,5,0.10640100198924166,0.019287944691707165,Core player strength,Difference,Team-level,True,True,25,High consensus importance; retain in the core feature set.
team_momentumDiff,0.020197131031407273,23,0.018336593393222664,24,0.019266862212314967,0.019244390856365267,23.5,1,0.09211890715029795,0.019256750102137603,Momentum,Difference,Team-level,True,True,26,High consensus importance; retain in the core feature set.
momentum_MFDiff,0.01990292894278877,28,0.017920429566771166,27,0.01891167925477997,0.018885683368406278,27.5,1,0.09960842354993704,0.01889998110591181,Momentum,Difference,MF,True,True,27,High consensus importance; retain in the core feature set.
core_MFRatio,0.020197311005121274,22,0.017460871408575163,28,0.01882909120684822,0.018779314424638153,25.0,6,0.13548534237316312,0.01880669165485369,Core player strength,Ratio,MF,True,True,28,High consensus importance; retain in the core feature set.
momentum_DFRatio,0.01984657873351517,29,0.01722713665730326,29,0.018536857695409213,0.018490530658209745,29.0,0,0.13198456577245846,0.018516010528669455,Momentum,Ratio,DF,True,True,29,High consensus importance; retain in the core feature set.
core_DFRatio,0.01959807728064797,31,0.016738844787065162,30,0.018168461033856567,0.018112127807788748,30.5,1,0.14589352070808204,0.01814311108212605,Core player strength,Ratio,DF,True,True,30,High consensus importance; retain in the core feature set.
