h2h_matches,row_count,row_ratio
0,1099,0.19783978397839783
1,1099,0.19783978397839783
2,730,0.13141314131413143
3,730,0.13141314131413143
4,520,0.09360936093609361
5,520,0.09360936093609361
6,292,0.05256525652565257
7,292,0.05256525652565257
8,136,0.024482448244824484
9,136,0.024482448244824484
10,1,0.00018001800180018
