match_card_id,match_date,home_team,away_team,actual,home_key,away_key,rf_prob_away,rf_prob_draw,rf_prob_home,rf_prediction,lgbm_prob_away,lgbm_prob_draw,lgbm_prob_home,lgbm_prediction,prob_away,prob_draw,prob_home,ensemble_prediction,rf_hit,lgbm_hit,ensemble_hit,models_agree,date_distance,round_no,toto_match_no,fixture_home_team,fixture_away_team,fixture_actual,inferred_round_date,date_distance_days,fixture_count,jleague_in_scope_count,coverage_rate
27330,2022-02-19,清水,札幌,D,清水,札幌,0.3306817532718996,0.3917656863574429,0.2775525603706575,D,0.2805812108927869,0.5552611823168567,0.1641576067903563,D,0.3106415363202545,0.45716388474120845,0.232194578938537,D,True,True,True,True,0,1283,1,清水,札幌,D,2022-02-19,0,12,12,1.0
27332,2022-02-19,G大阪,鹿島,A,g大阪,鹿島,0.31322978490245795,0.36658237103850805,0.32018784405903405,D,0.2842895736694132,0.4271839153134433,0.2885265110171435,D,0.30165370040924006,0.39082298874848215,0.3075233108422778,D,False,False,False,True,0,1283,2,G大阪,鹿島,A,2022-02-19,0,12,12,1.0
27334,2022-02-19,湘南,柏,A,湘南,柏,0.3464976567228,0.2354704907587123,0.4180318525184878,H,0.6881436816828707,0.06952610276578171,0.24233021555134773,A,0.4831560667068282,0.16909273556154003,0.34775119773163177,A,False,True,True,False,0,1283,3,湘南,柏,A,2022-02-19,0,12,12,1.0
26516,2022-02-19,徳島,ツエーゲン金沢,D,徳島,金沢,0.3719609034029937,0.3181824434440027,0.3098566531530036,A,0.34984767858513977,0.30221886690478744,0.34793345451007285,A,0.3631156134758521,0.3117970128283166,0.3250873736958313,A,False,False,False,True,0,1283,4,徳島,金沢,D,2022-02-19,0,12,12,1.0
26517,2022-02-19,V・ファーレン長崎,東京V,D,長崎,東京v,0.37788053616109724,0.27262142235611025,0.34949804148279257,A,0.4630403961596022,0.2448462874347989,0.2921133164055989,A,0.4119444801604992,0.2615113683875857,0.32654415145191507,A,False,False,False,True,0,1283,5,長崎,東京V,D,2022-02-19,0,12,12,1.0
27330,2022-02-19,清水,札幌,D,清水,札幌,0.3306817532718996,0.3917656863574429,0.2775525603706575,D,0.2805812108927869,0.5552611823168567,0.1641576067903563,D,0.3106415363202545,0.45716388474120845,0.232194578938537,D,True,True,True,True,0,1283,6,清水,札幌,D,2022-02-19,0,12,12,1.0
27332,2022-02-19,G大阪,鹿島,A,g大阪,鹿島,0.31322978490245795,0.36658237103850805,0.32018784405903405,D,0.2842895736694132,0.4271839153134433,0.2885265110171435,D,0.30165370040924006,0.39082298874848215,0.3075233108422778,D,False,False,False,True,0,1283,7,G大阪,鹿島,A,2022-02-19,0,12,12,1.0
27334,2022-02-19,湘南,柏,A,湘南,柏,0.3464976567228,0.2354704907587123,0.4180318525184878,H,0.6881436816828707,0.06952610276578171,0.24233021555134773,A,0.4831560667068282,0.16909273556154003,0.34775119773163177,A,False,True,True,False,0,1283,8,湘南,柏,A,2022-02-19,0,12,12,1.0
26516,2022-02-19,徳島,ツエーゲン金沢,D,徳島,金沢,0.3719609034029937,0.3181824434440027,0.3098566531530036,A,0.34984767858513977,0.30221886690478744,0.34793345451007285,A,0.3631156134758521,0.3117970128283166,0.3250873736958313,A,False,False,False,True,0,1283,9,徳島,金沢,D,2022-02-19,0,12,12,1.0
26517,2022-02-19,V・ファーレン長崎,東京V,D,長崎,東京v,0.37788053616109724,0.27262142235611025,0.34949804148279257,A,0.4630403961596022,0.2448462874347989,0.2921133164055989,A,0.4119444801604992,0.2615113683875857,0.32654415145191507,A,False,False,False,True,0,1283,10,長崎,東京V,D,2022-02-19,0,12,12,1.0
26513,2022-02-19,ザスパクサツ群馬,山形,H,群馬,山形,0.3903511002567176,0.3000498293081637,0.3095990704351187,A,0.5065508975777792,0.15294776765444,0.3405013347677808,A,0.4368310191851422,0.24120900464667422,0.32195997616818356,A,False,False,False,True,0,1283,11,群馬,山形,H,2022-02-19,0,12,12,1.0
26514,2022-02-19,千葉,いわてグルージャ盛岡,A,千葉,岩手,0.3816812952992311,0.17238867759466334,0.4459300271061057,H,0.5202786506281322,0.0967814461018197,0.3829399032700482,A,0.43712023743079154,0.1421457849975259,0.4207339775716826,A,False,True,True,False,0,1283,13,千葉,岩手,A,2022-02-19,0,12,12,1.0
27338,2022-02-26,C大阪,京都,D,c大阪,京都,0.36370488383465543,0.29750917062454246,0.33878594554080216,A,0.6464394294429373,0.12850046715945151,0.22506010339761123,A,0.4767987020779682,0.2299056892385061,0.2932956086835258,A,False,False,False,True,0,1285,1,C大阪,京都,D,2022-02-26,0,13,11,1.0
27339,2022-02-26,札幌,広島,D,札幌,広島,0.27923395891769287,0.28144543916044784,0.43932060192185934,H,0.2456226476257208,0.2167653956256288,0.5376119567486504,H,0.2657894344009041,0.2555734217465202,0.4786371438525757,H,False,False,False,True,0,1285,2,札幌,広島,D,2022-02-26,0,13,11,1.0
27341,2022-02-26,浦和,G大阪,A,浦和,g大阪,0.3456580451198279,0.2958515461558872,0.3584904087242848,H,0.4535287420395815,0.2069810906682797,0.3394901672921388,A,0.38880632388772934,0.2603033639608442,0.3508903121514264,A,False,True,True,False,0,1285,3,浦和,G大阪,A,2022-02-26,0,13,11,1.0
