feature,importance
home_core_DF,0.032086921684414925
home_core_FW,0.029153017566536425
away_core_DF,0.028589740980876365
away_momentum_FW,0.028504399130157284
home_team_momentum,0.02789738974670762
away_momentum_MF,0.027747138092422633
home_momentum_FW,0.027020253016084187
away_core_FW,0.025997553865181704
home_core_MF,0.02574648346775082
home_momentum_MF,0.025635765066049924
away_team_momentum,0.02527366733805827
away_core_MF,0.024918178710575015
home_team_core_score,0.02370122544877264
away_team_core_score,0.023050321335202524
away_momentum_DF,0.02268077858782256
home_momentum_DF,0.021516822506776497
momentum_FWRatio,0.020988337396966136
core_MFDiff,0.020156091630967824
core_FWDiff,0.019939671547762095
team_momentumRatio,0.019256891701820263
core_DFDiff,0.01896389044139209
momentum_DFDiff,0.018554804311472106
team_core_scoreRatio,0.018415590313251642
team_momentumDiff,0.01833659339322266
team_core_scoreDiff,0.01821710991314991
momentum_FWDiff,0.0180964825006271
momentum_MFDiff,0.017920429566771142
core_MFRatio,0.017460871408575114
momentum_DFRatio,0.01722713665730324
core_DFRatio,0.016738844787065117
core_FWRatio,0.01622553280927485
momentum_MFRatio,0.015241311215253128
team_stabilityRatio,0.014854768909830727
core_player_countRatio,0.014108039251999337
team_stabilityDiff,0.013498327496385014
available_count_MFRatio,0.012682174294883337
momentum_GKDiff,0.011166900071618736
starter_count_MFRatio,0.010808142980842463
home_team_stability,0.01043027639689419
available_count_FWRatio,0.010130192308055974
momentum_GKRatio,0.009717406227213461
core_GKDiff,0.00934882595717345
core_GKRatio,0.009096095324676168
available_count_DFRatio,0.009007614002826972
home_momentum_GK,0.008735227323634628
away_team_stability,0.00873319488596843
home_core_GK,0.008558438338744943
away_available_count_FW,0.006584879817144487
away_available_count_MF,0.0065029412598135656
away_momentum_GK,0.006374311972892679
core_player_countDiff,0.006105833625553727
available_count_MFDiff,0.006027098207661104
home_starter_count_MF,0.00600127154442775
starter_count_FWRatio,0.005878670603521508
home_core_player_count,0.0055725195630753
away_core_player_count,0.005434089211019319
away_core_GK,0.0051604235432510205
away_starter_count_MF,0.005086064142702769
home_available_count_DF,0.004877392825682507
starter_count_MFDiff,0.004781929345299085
available_count_DFDiff,0.004427917401619894
starter_count_DFRatio,0.004416434256278394
home_available_count_MF,0.004409175705987197
available_count_FWDiff,0.004131285872237133
away_starter_count_DF,0.004083759489704561
starter_count_FWDiff,0.0038496571058938434
away_available_count_DF,0.00361643643407958
home_available_count_FW,0.003317486673717479
away_starter_count_FW,0.003191371395545215
home_starter_count_FW,0.0028741512078385356
available_player_countDiff,0.0025654450506360014
starter_count_DFDiff,0.0025236878330203525
away_available_player_count,0.002379485673903362
home_starter_count_DF,0.0022352611203175516
home_available_player_count,0.0020425770766691505
available_player_countRatio,0.001816678768369722
available_count_GKDiff,0.0006558300749995832
available_count_GKRatio,0.000479722148444045
away_available_count_GK,0.0003340123003541076
home_available_count_GK,0.0001273288393278297
