strategy,window,test_from,test_to,rows,accuracy,macro_f1,weighted_f1,log_loss,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1,predicted_away,predicted_draw,predicted_home
rf_100,1,2022-02-18,2022-04-03,178,0.30337078651685395,0.29535635510152325,0.29792633662988904,1.1190021968789141,0.2413793103448276,0.25,0.24561403508771928,0.34210526315789475,0.22033898305084745,0.26804123711340205,0.32926829268292684,0.42857142857142855,0.3724137931034483,58,38,82
rf_100,2,2022-04-05,2022-07-02,388,0.33505154639175255,0.30809481564489266,0.32807395031117487,1.113002334575024,0.28,0.29914529914529914,0.2892561983471074,0.23684210526315788,0.17307692307692307,0.2,0.4117647058823529,0.46107784431137727,0.4350282485875706,125,76,187
rf_100,3,2022-07-03,2022-09-25,349,0.40974212034383956,0.34792162685713796,0.3763060260826336,1.0800583743606518,0.3894736842105263,0.3162393162393162,0.3490566037735849,0.23255813953488372,0.10989010989010989,0.14925373134328357,0.4549763033175355,0.6808510638297872,0.5454545454545454,95,43,211
rf_100,4,2022-10-01,2022-11-20,159,0.34591194968553457,0.2992383512544803,0.3216000541015757,1.0884995948453011,0.2894736842105263,0.1896551724137931,0.22916666666666666,0.23076923076923078,0.16666666666666666,0.1935483870967742,0.4,0.5846153846153846,0.475,38,26,95
rf_100,5,2023-02-17,2023-03-29,151,0.3973509933774834,0.37577144442133,0.3831805516985931,1.091194909437035,0.35,0.2692307692307692,0.30434782608695654,0.35294117647058826,0.27906976744186046,0.3116883116883117,0.44155844155844154,0.6071428571428571,0.5112781954887218,40,34,77
rf_100,6,2023-03-31,2023-06-25,399,0.39097744360902253,0.3215955665517069,0.3547695806467736,1.084102751031061,0.38596491228070173,0.3308270676691729,0.3562753036437247,0.2,0.07,0.1037037037037037,0.42,0.6325301204819277,0.5048076923076923,114,35,250
rf_100,7,2023-06-28,2023-09-24,375,0.32266666666666666,0.25667097936868566,0.2781989998285787,1.119835872465903,0.22413793103448276,0.22608695652173913,0.22510822510822512,0.18518518518518517,0.04504504504504504,0.07246376811594203,0.3879310344827586,0.6040268456375839,0.47244094488188976,116,27,232
rf_100,8,2023-09-27,2023-12-03,223,0.39461883408071746,0.34921294057042634,0.36357441112252786,1.0888806349479287,0.4727272727272727,0.28888888888888886,0.3586206896551724,0.34782608695652173,0.14285714285714285,0.20253164556962025,0.3724137931034483,0.7012987012987013,0.4864864864864865,55,23,145
rf_100,9,2024-02-23,2024-03-23,138,0.2826086956521739,0.2712828282828283,0.27518906455862974,1.1416739030721337,0.3111111111111111,0.27450980392156865,0.2916666666666667,0.375,0.15384615384615385,0.21818181818181817,0.24675324675324675,0.3958333333333333,0.304,45,16,77
rf_100,10,2024-03-24,2024-06-19,409,0.39119804400978,0.33800735238310803,0.3541289551986465,1.0878522704211107,0.38095238095238093,0.366412213740458,0.3735408560311284,0.2894736842105263,0.09166666666666666,0.13924050632911392,0.4122448979591837,0.6392405063291139,0.5012406947890818,126,38,245
