round_id,toto_match_no,home_team,away_team,market_prob_home,market_prob_draw,market_prob_away,market_favorite,market_favorite_probability,market_second_probability,market_probability_margin,market_entropy,market_concentration,market_home_rank,market_draw_rank,market_away_rank,market_home_bias,market_draw_bias,market_away_bias
1631,1,福岡,神戸,0.1336,0.2492,0.6172,A,0.6172,0.2492,0.368,0.8310709405418395,0.1689290594581605,3,2,1,-0.19973333333333332,-0.08413333333333331,0.28386666666666666
1631,2,鹿島,FC東京,0.5671,0.2303,0.2026,H,0.5671,0.2303,0.33680000000000004,0.8950306974069788,0.10496930259302117,1,2,3,0.23376666666666673,-0.10303333333333331,-0.1307333333333333
1631,3,京都,長崎,0.3764,0.2229,0.4007,A,0.4007,0.3764,0.02429999999999999,0.9728806579825137,0.027119342017486336,2,3,1,0.0430666666666667,-0.11043333333333333,0.06736666666666669
1631,4,岡山,Ｃ大阪,0.2942,0.2616,0.44420000000000004,A,0.44420000000000004,0.2942,0.15000000000000002,0.9750496249813153,0.02495037501868469,2,3,1,-0.0391333333333333,-0.07173333333333332,0.11086666666666672
1631,5,東京Ｖ,横浜FM,0.49689999999999995,0.2466,0.2565,H,0.49689999999999995,0.2565,0.24039999999999995,0.9482443491232818,0.051755650876718184,1,3,2,0.16356666666666664,-0.0867333333333333,-0.07683333333333331
1631,6,広島,名古屋,0.498,0.201,0.301,H,0.498,0.301,0.197,0.9385221474853358,0.0614778525146642,1,3,2,0.16466666666666668,-0.1323333333333333,-0.032333333333333325
1631,7,柏,千葉,0.7126,0.172,0.11539999999999999,H,0.7126,0.172,0.5406,0.7221908969012022,0.2778091030987978,1,2,3,0.3792666666666667,-0.16133333333333333,-0.2179333333333333
1631,8,水戸,川崎Ｆ,0.1607,0.20149999999999998,0.6378,A,0.6378,0.20149999999999998,0.4363,0.8223361219903612,0.1776638780096388,3,2,1,-0.1726333333333333,-0.13183333333333333,0.3044666666666667
1631,9,清水,Ｇ大阪,0.24960000000000002,0.29350000000000004,0.4569,A,0.4569,0.29350000000000004,0.16339999999999993,0.968584991559201,0.03141500844079903,3,2,1,-0.0837333333333333,-0.039833333333333276,0.12356666666666666
1631,10,札幌,磐田,0.682,0.16010000000000002,0.15789999999999998,H,0.682,0.16010000000000002,0.5219,0.7698493040967321,0.23015069590326787,1,2,3,0.34866666666666674,-0.1732333333333333,-0.17543333333333333
1631,11,仙台,横浜FC,0.6068,0.20980000000000001,0.1834,H,0.6068,0.20980000000000001,0.397,0.8572783436385871,0.14272165636141287,1,2,3,0.2734666666666667,-0.1235333333333333,-0.1499333333333333
1631,12,徳島,今治,0.5731,0.222,0.20489999999999997,H,0.5731,0.222,0.3511000000000001,0.8901989611801578,0.10980103881984216,1,2,3,0.23976666666666674,-0.11133333333333331,-0.12843333333333334
1631,13,藤枝,いわき,0.435,0.2823,0.2827,H,0.435,0.2827,0.1523,0.9796916017470538,0.02030839825294617,1,3,2,0.10166666666666668,-0.05103333333333332,-0.05063333333333331
