confidence_level,coverage_recommendation,rows,primary_accuracy,mean_top_probability,mean_confidence,mean_disagreement
HIGH,DOUBLE,80,0.325,0.5557499404309374,0.5114710321041687,0.16914878265698138
HIGH,SINGLE,105,0.45714285714285713,0.5324013579339365,0.4902588642736991,0.09551981635692457
HIGH,TRIPLE,92,0.34782608695652173,0.5753339538174208,0.5203657579771085,0.25158945424750845
LOW,DOUBLE,823,0.3985419198055893,0.41588704916644215,0.27202181842467643,0.10420695877279089
LOW,TRIPLE,1983,0.35501765002521435,0.37657367492045957,0.2269237680300016,0.08073858559019256
MEDIUM,DOUBLE,1143,0.38757655293088367,0.45201156413703636,0.3466656845495062,0.10202866807424406
MEDIUM,SINGLE,157,0.46496815286624205,0.49324722647142194,0.4130864147500151,0.09524526645974289
MEDIUM,TRIPLE,119,0.3697478991596639,0.49183485515534026,0.37894442059670524,0.23249542938287185
